              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;
17GB ABR24 ;;;;;;;;;;;;
;;; ;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;
;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;
17GB;AB-17102;FEJ-7954;03/04/2024;138240;89,58; R$563,42 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;08/04/2024;138370;78,87; R$496,07 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;16/04/2024;138542;101,98; R$641,46 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;19/04/2024;138693;91,92; R$577,55 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;22/04/2024;138979;120,12; R$755,59 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;03/04/2024;164978;70,77; R$445,17 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;18/04/2024;165185;66,30; R$417,01 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;24/04/2024;165441;68,46; R$430,62 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17103;DJM-3481;27/04/2024;139227;146,85; R$923,65 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;01/04/2024;31763;142,80; R$883,93 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;08/04/2024;32078;151,74; R$939,27 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;13/04/2024;32334;116,70; R$722,37 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;20/04/2024;32580;129,24; R$800,00 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;27/04/2024;32830;125,69; R$778,02 ;POSTO;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;04/04/2024;39779;38,88; R$244,57 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;07/04/2024;40147;59,99; R$377,34 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;10/04/2024;40346;33,80; R$212,62 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;14/04/2024;40614;48,94; R$307,82 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;17/04/2024;40848;40,12; R$252,41 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;20/04/2024;41039;34,42; R$216,48 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;21/04/2024;41419;65,45; R$428,07 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;26/04/2024;41646;39,91; R$251,05 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;28/04/2024;41919;49,74; R$312,88 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;30/04/2024;42124;44,75; R$281,49 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17002;GIL-8475;01/04/2024;161893;57,29; R$360,39 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17002;GIL-8475;30/04/2024;162265;64,07; R$403,05 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ASE-17101;BFG-1779;27/04/2024;162081;150,14; R$944,43 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AT-17101;STA-3H63;09/04/2024;2724;130,83; R$822,92 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AT-17101;STA-3H63;18/04/2024;2913;123,59; R$765,02 ;POSTO;DIESEL S-10;;;;
17GB;AT-17101;STA-3H63;27/04/2024;3140;148,01; R$916,18 ;POSTO;DIESEL S-10;;;;
17GB;EQUIPAMENTO;EQUIP-01;01/04/2024;134;11,30; R$67,71 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;EQUIPAMENTO;EQUIP-01;25/04/2024;135;20,00; R$119,80 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;EQUIPAMENTO;EQUIP-02;01/04/2024;23;4,73; R$25,02 ;POSTO;GASOLINA COMUM;;;;
17GB;MOB-17102;FDF-9996;01/04/2024;74149;4,17; R$24,99 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17102;FDF-9996;22/04/2024;74247;10,01; R$59,96 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17102;FDF-9996;23/04/2024;74310;4,11; R$24,63 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17102;FDF-9996;25/04/2024;74381;5,00; R$29,96 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17102;FDF-9996;28/04/2024;74466;4,92; R$29,47 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17102;FDF-9996;30/04/2024;74559;5,52; R$33,05 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;05/04/2024;62576;6,65; R$39,84 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;09/04/2024;62728;8,25; R$49,42 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;12/04/2024;62872;8,88; R$53,24 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;14/04/2024;62966;5,43; R$32,50 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;15/04/2024;63041;4,34; R$26,01 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;16/04/2024;63174;6,71; R$40,20 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;21/04/2024;63271;6,11; R$36,61 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;01/04/2024;55451;3,70; R$22,17 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;05/04/2024;55548;6,52; R$39,05 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;09/04/2024;55702;8,99; R$53,85 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;12/04/2024;55850;9,14; R$54,74 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;14/04/2024;55945;5,34; R$32,01 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;15/04/2024;56022;4,47; R$26,81 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;16/04/2024;56158;6,38; R$38,25 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;21/04/2024;56257;6,84; R$41,02 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;23/04/2024;56341;5,57; R$33,57 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;25/04/2024;56413;5,03; R$30,11 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;28/04/2024;56500;5,08; R$30,45 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;30/04/2024;56595;5,63; R$33,75 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;TP-17000;FHN-0083;09/04/2024;175295;28,04; R$109,06 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17000;FHN-0083;16/04/2024;175468;27,00; R$105,06 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17000;FHN-0083;19/04/2024;175662;25,24; R$100,71 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17000;FHN-0083;26/04/2024;175821;24,56; R$98,01 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17001;DBS-3679;01/04/2024;302695;29,93; R$116,45 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17001;DBS-3679;04/04/2024;302998;38,09; R$129,13 ;POSTO;ETANOL COMUM;;;;
17GB;TP-17001;DBS-3679;15/04/2024;303247;33,22; R$129,23 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17001;DBS-3679;29/04/2024;303433;32,92; R$131,36 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17004;GAX-8077;01/04/2024;268922;20,25; R$78,80 ;AUTO POSTO JOAO XXIII - II;ETANOL COMUM;;;;
17GB;TP-17004;GAX-8077;02/04/2024;269071;20,83; R$81,04 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17004;GAX-8077;10/04/2024;269342;37,39; R$145,47 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17004;GAX-8077;16/04/2024;269486;26,02; R$103,85 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17004;GAX-8077;17/04/2024;269666;25,21; R$100,61 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17004;GAX-8077;23/04/2024;269895;26,23; R$94,17 ;POSTO;ETANOL COMUM;;;;
17GB;TP-17004;GAX-8077;29/04/2024;269983;15,88; R$57,01 ;POSTO;ETANOL COMUM;;;;
17GB;UR-17105;FKG0E65;02/04/2024;28515;31,00; R$195,00 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;UR-17105;FKG0E65;04/04/2024;28659;30,54; R$192,12 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;UR-17105;FKG0E65;06/04/2024;28826;31,81; R$200,08 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;UR-17105;FKG0E65;09/04/2024;29168;49,24; R$309,74 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;UR-17105;FKG0E65;12/04/2024;29401;31,28; R$196,75 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
