              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;
17GB AGO23 ;;;;;;;;;;;;
;;; ;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;
;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;
17GB;ABS-17202;DJP-9419;05/08/2023;93243;134,46; R$711,29 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;11/08/2023;93443;133,76; R$720,97 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ1B95;03/08/2023;32106;50,79; R$268,68 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;07/08/2023;32272;26,31; R$139,18 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;12/08/2023;32408;59,48; R$320,60 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;15/08/2023;32790;44,74; R$241,15 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;19/08/2023;33019;42,5; R$263,08 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;22/08/2023;33247;44,61; R$276,14 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;23/08/2023;33308;14,98; R$92,73 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;VO-17102;EFC 7492;14/08/2023;51317;27,17; R$100,00 ;POSTO REINA O SOL ;ETANOL;;;;
17GB;VO-17102;EFC 7492;17/08/2023;51555;35,46; R$130,15 ;POSTO REINA O SOL ;ETANOL;;;;
17GB;AB-17102;FEJ-7954;02/08/2023;126552;55,97; R$284,36 ; POSTO REINA O SOL;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;05/08/2023;126690;102,05; R$518,45 ; POSTO REINA O SOL;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;08/08/2023;126933;96,20; R$488,73 ;POSTO PORTA DO SOL;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;11/08/2023;127104;90,13; R$457,88 ;POSTO PORTA DO SOL;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;13/08/2023;127291;81,59; R$414,49 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;17/08/2023;127520;111,94; R$647,06 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;20/08/2023;127691;91,82; R$530,74 ;POSTO PORTA DO SOL;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;22/08/2023;127993;121,32; R$701,27 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;24/08/2023;128200;93,43; R$568,07 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;29/08/2023;128365;93,10; R$566,07 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;UR-17105;FKGOE65;08/08/2023;20022;28,46; R$144,59 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;UR-17105;FKGOE66;21/08/2023;20253;27,71; R$160,18 ;POSTO REINA O SOL;DIESEL S-11;;;;
17GB;UR-17105;FKGOE67;30/08/2023;20435;24,63; R$149,75 ;POSTO REINA O SOL;DIESEL S-12;;;;
17GB;MOTOR DE POPA;;08/08/2023;;8,05; R$8,05 ;POSTO REINA O SOL;GASOLINA;;;;
17GB;ABS-17205;GIC-3F68;04/08/2023;40151;88,96; R$452,81 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;09/08/2023;40386;158,38; R$806,15 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;15/08/2023;40689;143,16; R$743,00 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;20/08/2023;41030;187,74; R$1.143,84 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;22/08/2023;41324;145,01; R$883,05 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;26/08/2023;41558;122,63; R$746,82 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;01/08/2023;42619;36,43; R$185,43 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;05/08/2023;42789;28,55; R$145,32 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;08/08/2023;43060;38,97; R$198,36 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;13/08/2023;43281;36,28; R$188,29 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;16/08/2023;43531;35,85; R$225,50 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;20/08/2023;43815;42,96; R$261,63 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;24/08/2023;44097;35,12; R$213,88 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;28/08/2023;44292;37,17; R$226,37 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17211;FQO-1D01; 17/08/2023;22096;46,66; R$284,16 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17211;FQO-1D01;28/08/2023;32367;37,89; R$230,75 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;MOB17106;GCC9F64;02/08/2023;2948;9,44; R$49,84 ;AUTO POSTO IPIRANGA ;Gasolina;;;;
17GB;MOB17107;FSP3D32;02/08/2023;2944;9,95; R$52,56 ;AUTO POSTO IPIRANGA ;Gasolina;;;;
17GB;VO-17204;GJP2D64;02/08/2023;5727;31,65; R$167,11 ;AUTO POSTO IPIRANGA ;Gasolina;;;;
17GB;UR-17214;GGT3F22;02/08/2023;2186;40,8; R$228,07 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;UR-17211;FQO1D01;02/08/2023;31647;21,14; R$118,17 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;TP-17205;DJL9240;02/08/2023;202084;37,1; R$195,89 ;AUTO POSTO IPIRANGA ;Gasolina;;;;
17GB;VO-17205;ECE0I01;03/08/2023;23425;24,72; R$130,52 ;AUTO POSTO IPIRANGA ;Gasolina;;;;
17GB;UR-17208;BZF1518;04/08/2023;99843;42,94; R$240,04 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;UR-17214;GGT3F22;05/08/2023;2379;31,19; R$174,40 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;UR-17211;FQO1D01;05/08/2023;31780;22,71; R$126,95 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;ABS-17201 ;GGR8E95;06/08/2023;6291;157,49; R$880,37 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;MOB17206;GCC9F64;08/08/2023;3207;9,8; R$51,74 ;AUTO POSTO IPIRANGA ;Gasolina;;;;
17GB;MOB17207;FSP3D32;08/08/2023;3213;9,01; R$47,52 ;AUTO POSTO IPIRANGA ;Gasolina;;;;
17GB;UR-17206;FPF6349;09/08/2023;168845;40,01; R$223,60 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;UR-17214;GGT3F22;09/08/2023;2585;34,31; R$191,79 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;ABS-17201 ;GGR8E95;10/08/2023;6681;166,01; R$927,94 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;VO-17205;ECE0I01;10/08/2023;23662;24,9; R$131,47 ;AUTO POSTO IPIRANGA ;Gasolina;;;;
17GB;AT-17205;GIU7B96;12/08/2023;7158;192,95; R$1.078,59 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;UR-17214;GGT3F22;12/08/2023;2899;49,31; R$227,69 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;TP-17205;DJL9240;14/08/2023;202504;38,11; R$201,22 ;AUTO POSTO IPIRANGA ;Gasolina;;;;
17GB;UR-17214;GGT3F22;14/08/2023;3177;38,53; R$215,38 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;ABS-17204;FCQ0386;14/08/2023;80690;95,31; R$532,78 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;ABS-17201 ;GGR8E95;15/08/2023;7060;181,36; R$1.013,80 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;TP-17205;DJL9240;17/08/2023;200841;35,56; R$187,80 ;AUTO POSTO IPIRANGA ;Gasolina;;;;
17GB;UR-17214;GGT3F22;17/08/2023;3457;42,51; R$237,68 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;VO-17204;GJP2D64;17/08/2023;6080;35,62; R$188,07 ;AUTO POSTO IPIRANGA ;Gasolina;;;;
17GB;VO-17206;BIF2I64;18/08/2023;13755;57,81; R$323,16 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;MOB17207;FSP3D32;18/08/2023;3438;7,55; R$39,86 ;AUTO POSTO IPIRANGA ;Gasolina;;;;
17GB;MOB17206;GCC9F64;18/08/2023;3431;8,08; R$42,66 ;AUTO POSTO IPIRANGA ;Gasolina;;;;
17GB;UR-17214;GGT3F22;20/08/2023;3792;51,14; R$285,87 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;ABS-17201 ;GGR8E95;20/08/2023;7395;101,65; R$568,27 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;ABS-17201 ;GGR8E95;21/08/2023;7624;107,96; R$603,50 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;AB-17201;DJP2731;20/08/2023;216535;172,75; R$965,67 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;UR-17214;GGT3F22;22/08/2023;4081;38,21; R$213,64 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;VO-17205;ECE0I01;23/08/2023;24054;30,54; R$161,25 ;AUTO POSTO IPIRANGA ;Gasolina;;;;
17GB;ABS-17204;FCQ0386;23/08/2023;80887;177,2; R$990,55 ;AUTO POSTO IPIRANGA ;Diesel;;;;
17GB;ABS-17201 ;GGR8E95;23/08/2023;7896;159,01; R$888,81 ;AUTO POSTO IPIRANGA ;Diesel;;;;
