              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;
17GB AGO25;;;;;;;;;;;
;;; ;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;
;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;
17GB;MOB-17102;FDF-9996;01/08/2025;81633;8,26; R$51,13 ;Auto posto Titans;GASOLINA;;;
17GB;UR-17213;FYT2A23;01/08/2025;54205;38,17; R$251,54 ;IPIRANGA FERRAZ;DIESEL S10;;;
17GB;ABS-17205;GIC3F68;01/08/2025;66748;151,19; R$935,87 ;Ipiranga;DIESEL S10;;;
17GB;ABS-17106;GDH3H25;01/08/2025;50449;149,91; R$894,96 ;Auto Posto Titans Ltda;DIESEL S10;;;
17GB;UR-17102;FYC1A73;02/08/2025;36765;34,01; R$203,04 ;Auto posto titans;DIESEL S10;;;
17GB;ABS-17203;SWV0I18;02/08/2025;25905;198,54; R$1.288,53 ;Quality baruel;DIESEL S10;;;
17GB;AC-17001;GHU6J06;04/08/2025;65902;35,13; R$231,51 ;Posto Qualit shopping;DIESEL S10;;;
17GB;UR-17102;FYC1A73;04/08/2025;36994;30,99; R$204,26 ;POST EQUIPE QUALITY MONOEL BEZERRA L FILHO;DIESEL S10;;;
17GB;ABS-17205;GIC3F68;04/08/2025;66938;107,22; R$663,69 ;Ipiranga;DIESEL S10;;;
17GB;MOB-17108;EEF-7208;04/08/2025;56436;4,80; R$30,68 ;Posto Quality;GASOLINA;;;
17GB;MOB-17107;EEF-7217;04/08/2025;55159;3,85; R$24,64 ;Quality equipe shoop;GASOLINA;;;
17GB;VO-17004;EXM2C24;04/08/2025;71301;33,63; R$140,91 ;Equipe Quality;ALCOOL;;;
17GB;EP-17101;TZL5A72;04/08/2025;166;26,14; R$109,55 ;Auto Posto Equipe;ALCOOL;;;
17GB;ABS-17101;GCN6C35;05/08/2025;72539;171,98; R$1.133,37 ;Quality;DIESEL S10;;;
17GB;UR-17211;FQO1D01;04/08/2025;71438;42,32; R$261,96 ;Ipiranga;DIESEL S10;;;
17GB;MOB-17207;FSP3D32;05/08/2025;13848;8,83; R$54,39 ;Petrobrás;GASOLINA;;;
17GB;MOB-17206;GCC9F64;05/08/2025;13886;6,19; R$60,78 ;Petrobras;GASOLINA;;;
17GB;UR-17214;GGT3F22;05/08/2025;49851;30,80; R$200,15 ;Itamaraty;DIESEL S10;;;
17GB;UR-17213;FYT2A23;05/08/2025;54554;58,02; R$382,35 ;Auto Posto Ferraz Centro;DIESEL S10;;;
17GB;VO-17101;TKX6F66;05/08/2025;2481;39,32; R$255,19 ;ITAMARATHY;DIESEL;;;
17GB;UR-17105;FKG0E65;05/08/2025;47446;30,20; R$198,95 ;Quality;DIESEL S10;;;
17GB;TP-17001;SWH6I87;05/08/2025;40837;12,75; R$50,87 ;posto itamarathy;ALCOOL;;;
17GB;UT-17003;DJL-7263;04/08/2025;115614;32,32; R$209,76 ;Postos Itamaraty;DIESEL S10;;;
17GB;VO-17103;DIW1J93;05/08/2025;129668;24,62; R$98,26 ;Posto Itamarathy;ALCOOL;;;
17GB;ABE-04;BFG-2897;05/08/2025;109485;53,28; R$351,12 ;Posto Equipe Quality;DIESEL S10;;;
17GB;ABS-17203;SWV0I18;05/08/2025;26237;129,10; R$812,04 ;Posto quality;DIESEL S10;;;
17GB;UR-17101;FVY9I93;06/08/2025;48121;31,95; R$210,53 ;POSTO EQUIPE QUALITY;DIESEL S10;;;
17GB;ABS-17102;EEF7D31;06/08/2025;174851;93,84; R$618,41 ;Equipe Quality shopping;DIESEL S10;;;
17GB;ABS-17105;GIC4H16;06/08/2025;71704;88,48; R$582,21 ;POSTO REINA O SOL;DIESEL S10;;;
17GB;ABS-17201;GGR8E95;06/08/2025;41236;155,26; R$1.023,16 ;Ipiranga centro de Ferraz de Vasconcelos;DIESEL S10;;;
17GB;TP-17001;SWH6I87;07/08/2025;41155;19,30; R$80,87 ;Equipe Quality;ALCOOL;;;
17GB;VO-17004;EXM2C24;07/08/2025;71485;22,48; R$89,70 ;itamarathy;ALCOOL;;;
17GB;UR-17211;FQO1D01;07/08/2025;71693;32,22; R$193,25 ;Ipiranga;DIESEL S10;;;
17GB;TP-17101;DBS-3679;08/08/2025;310673;35,13; R$147,21 ;Posto equipe quality ltda;ALCOOL;;;
17GB;UR-17212;GJH1F17;08/08/2025;76496;44,07; R$277,20 ;Petrobras;DIESEL S10;;;
17GB;TP-17001;SWH6I87;08/08/2025;41314;18,72; R$78,44 ;posto equipe quality;ALCOOL;;;
17GB;TP-17000;TIZ0D86;08/08/2025;684;17,76; R$74,41 ;POSTO EQUIPE QUALITY;ALCOOL;;;
17GB;MT-17001;FVJ-2863;08/08/2025;23630;10,39; R$66,44 ;Postos Quality;GASOLINA;;;
17GB;VO-17103;DIW1J93;08/08/2025;130040;39,45; R$165,32 ;Postos Quality;ALCOOL;;;
17GB;MOB-17108;EEF-7208;08/08/2025;56577;5,10; R$32,71 ;Posto Quality;GASOLINA;;;
17GB;MOB-17107;EEF-7217;08/08/2025;55300;5,01; R$32,03 ;Quality shoop;GASOLINA;;;
17GB;TP-17203;FHN-0083;08/08/2025;182856;30,65; R$189,72 ;Auto posto tornado Jd Odete;GASOLINA;;;
17GB;VO-17204;GJP2D64;08/08/2025;28454;32,33; R$200,12 ;Qualy Baruel;GASOLINA;;;
17GB;ABS-17106;GDH3H25;08/08/2025;50845;194,36; R$1.280,81 ;Equipe QUALITY;DIESEL S10;;;
17GB;UR-17102;FYC1A73;08/08/2025;37198;27,31; R$163,04 ;Titans;DIESEL S10;;;
17GB;ABS-17105;GIC4H16;09/08/2025;71882;136,07; R$505,82 ;POSTO REINA O SOL;DIESEL S10;;;
17GB;UR-17213;FYT2A23;09/08/2025;54762;36,30; R$239,22 ;Posto Ferraz de Vasconcelos;DIESEL S10;;;
17GB;ABS-17101;GCN6C35;09/08/2025;72917;164,26; R$1.082,47 ;Quality;DIESEL S10;;;
17GB;UR-17101;FVY9I93;10/08/2025;48371;33,46; R$220,52 ;Equipe Quality LTDA;DIESEL S10;;;
17GB;UR-17211;FQO1D01;10/08/2025;71919;37,90; R$234,60 ;Ipiranga;DIESEL S10;;;
17GB;TP-17001;SWH6I87;11/08/2025;41473;18,08; R$75,76 ;POSTO EQUIPE QUALITY;ALCOOL;;;
17GB;VO-17001;FFY5I31;11/08/2025;21468;32,56; R$129,91 ;posto itamarathy;ALCOOL;;;
17GB;ABS-17205;GIC3F68;11/08/2025;67272;180,01; R$1.114,26 ;Ipiranga;DIESEL S10;;;
17GB;VO-17203;TKX3B23;11/08/2025;6521;57,51; R$373,24 ;AUTO POSTO QUALITY BARUEL;DIESEL S10;;;
17GB;MT-17202;FDB-5316;11/08/2025;8611;7,78; R$47,93 ;AUTO POSTO QUALITY BARUEL;GASOLINA;;;
17GB;VO-17003;TKX5J89;11/08/2025;3654;34,08; R$224,59 ;POSTO EQUIPE QUALITY;DIESEL;;;
17GB;VO-17103;DIW1J93;11/08/2025;130402;39,93; R$159,32 ;Posto Itamarathy;ALCOOL;;;
17GB;TP-17001;SWH6I87;12/08/2025;41633;17,32; R$72,57 ;posto Equipe Quality;ALCOOL;;;
17GB;EP-17101;TZL5A72;12/08/2025;348;26,53; R$111,16 ;AP EQUIPE;ALCOOL;;;
17GB;ABS-17201;GGR8E95;12/08/2025;41523;145,71; R$960,23 ;Ipiranga centro;DIESEL S10;;;
17GB;VO-17103;DIW1J93;12/08/2025;130583;20,01; R$80,00 ;Itamaraty;ALCOOL;;;
17GB;EP-17201;TIX7A89;12/08/2025;4962;23,21; R$143,66 ;Qualy Baruel;GASOLINA;;;
17GB;MOB-17107;EEF-7217;13/08/2025;55397;4,01; R$25,63 ;Posto Equipe Quality (shopping);GASOLINA;;;
17GB;TP-17001;SWH6I87;13/08/2025;41741;19,48; R$81,62 ;posto equipe quality;ALCOOL;;;
17GB;VO-17101;TKX6F66;09/08/2025;2707;31,00; R$204,30 ;Equipe quality shel shopping;DIESEL S10;;;
17GB;VO-17101;TKX6F66;13/08/2025;2979;35,03; R$230,90 ;Posto Qualit shopping;DIESEL S10;;;
17GB;UR-17102;FYC1A73;13/08/2025;37669;29,79; R$196,34 ;POST EQUIPE QUALITY MANOEL BEZZERA LIMA FILHO;DIESEL S10;;;
17GB;UR-17211;FQO1D01;13/08/2025;72217;41,78; R$258,62 ;Ipiranga;DIESEL S10;;;
17GB;EP-17101;TZL5A72;14/08/2025;530;19,32; R$77,09 ;Titans;ALCOOL;;;
17GB;TP-17001;SWH6I87;14/08/2025;41942;17,69; R$74,12 ;Posto quality;ALCOOL;;;
17GB;VO-17003;TKX5J89;14/08/2025;4039;43,11; R$284,12 ;Equipe Quality;DIESEL S10;;;
17GB;VO-17103;DIW1J93;14/08/2025;131137;18,58; R$74,15 ;Posto Itamaraty;ALCOOL;;;
17GB;UR-17105;FKG0E65;14/08/2025;47771;52,04; R$342,94 ;Posto Equipe Quality Ltda;DIESEL S10;;;
17GB;ABS-17204;FCQ-0386;12/08/2025;89492;176,21; R$1.108,30 ;BR;DIESEL S10;;;
17GB;MOB-17206;GCC9F64;15/08/2025;14131;8,66; R$53,61 ;Posto Baruel (BR Petrobras);GASOLINA;;;
17GB;MOB-17207;FSP3D32;15/08/2025;14093;8,28; R$51,00 ;Petrobrás;GASOLINA;;;
17GB;TP-17001;SWH6I87;15/08/2025;42100;18,14; R$72,38 ;POSTO ITAMARATHY;ALCOOL;;;
17GB;VO-17004;EXM2C24;15/08/2025;71836;37,09; R$155,41 ;POSTO EQUIPE QUALITY;ALCOOL;;;
17GB;ABS-17101;GCN6C35;15/08/2025;73297;176,28; R$1.161,69 ;Shell (Shopping);DIESEL S10;;;
17GB;ABS-17105;GIC4H16;15/08/2025;72232;151,06; R$993,96 ;POSTO REINA O SOL;DIESEL S10;;;
17GB;UR-17212;GJH1F17;14/08/2025;76751;33,90; R$213,23 ;Posto Baruel;DIESEL S10;;;
17GB;UR-17214;GGT3F22;15/08/2025;50344;3,39; R$210,09 ;Posto Baruel;DIESEL S10;;;
17GB;UR-17210;EWZ1B95;15/08/2025;51509;44,27; R$291,74 ;Posto Ferraz;DIESEL S10;;;
17GB;MOB-17108;EEF-7208;15/08/2025;56757;5,40; R$34,50 ;Equipe Quality shopping;GASOLINA;;;
17GB;MOB-17107;EEF-7217;15/08/2025;55543;4,62; R$29,52 ;Posto Equipe Quality (shopping);GASOLINA;;;
17GB;TP-17001;SWH6I87;16/08/2025;42185;10,30; R$37,99 ;Auto posto prata s j campos LTDA (7584);ALCOOL;;;
17GB;ABS-17205;GIC3F68;16/08/2025;67585;158,85; R$983,28 ;Ipiranga;DIESEL S10;;;
17GB;ABS-17201;GGR8E95;16/08/2025;41706;100,00; R$659,00 ;Auto posto Ferraz centro;DIESEL S10;;;
