              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;
17GB DEZ24 ;;;;;;;;;;;;
;;; ;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;
;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;
17GB;AC-17001;GHU-6J06;01/12/2024;55730;47,77; R$305,26 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;MOB-17102;FDF-9996;01/12/2024;80878;6,33; R$39,69 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;01/12/2024;70420;6,51; R$40,84 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB; UR-17102;FYC-1A73;01/12/2024;24502;37,49; R$232,06 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;02/12/2024;172361;89,09; R$569,29 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;VO-17000;FFY5I31;02/12/2024;13;54,44; R$222,66 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17003;FHN0083;02/12/2024;179700;24,73; R$101,17 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;TP-17001;SWH6I87;02/12/2024;18176;28,64; R$117,13 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;VO-17000;FFY5I31;02/12/2024;185;29,30; R$119,87 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;UR-17101;FVY-9I93;03/12/2024;36587;18,81; R$120,18 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;TP-17001;SWH6I87;03/12/2024;18346;17,48; R$71,54 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;VO-17000;FFY5I31;03/12/2024;434;29,87; R$122,20 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17001;SWH6I87;04/12/2024;18508;17,81; R$72,83 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;AC-17001;GHU-6J06;04/12/2024;56010;46,65; R$298,08 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;MO-17001;DJM-4557;04/12/2024;160837;29,36; R$187,62 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;MOB-17104;FZF-6232;04/12/2024;70506;5,90; R$37,03 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17102;FDF-9996;04/12/2024;80965;5,56; R$34,88 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;BOM - 0001;BOM-0001;04/12/2024;141;10,00; R$62,70 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;ABS-17101;GCN6C35;04/12/2024;66430;118,21; R$755,37 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;VO-17100;GAW-5G93;05/12/2024;24859;21,61; R$88,38 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;AT-17101;STA-3H63;05/12/2024;8436;119,98; R$709,13 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;05/12/2024;42973;113,37; R$701,76 ;POSTO;DIESEL S-10;;;;
17GB;TP-17001;SWH6I87;05/12/2024;18756;32,77; R$134,03 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;VO-17000;FFY5I31;05/12/2024;624;34,89; R$142,73 ;PETROCIN;ETANOL COMUM;;;;
17GB;VO-17100;GAW-5G93;05/12/2024;24981;17,64; R$72,17 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;UR-17105;FKG0E65;06/12/2024;37994;40,23; R$249,02 ;POSTO;DIESEL S-10;;;;
17GB;TP-17001;SWH6I87;06/12/2024;19039;30,03; R$122,82 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;VO-17004;EXM2C24;06/12/2024;62542;20,99; R$85,88 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;ABS-17103;DJM-3481;07/12/2024;147753;136,54; R$872,51 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB; UR-17102;FYC-1A73;07/12/2024;24805;50,73; R$314,02 ;POSTO;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;07/12/2024;56197;35,14; R$224,54 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;UR-17101;FVY-9I93;08/12/2024;36750;30,49; R$194,88 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;TP-17001;SWH6I87;09/12/2024;19198;18,72; R$76,55 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;MOB-17107;EEF7217;09/12/2024;49706;6,00; R$37,62 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB; MOB-17106;EEF7207;09/12/2024;46542;9,88; R$61,96 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;UT-17003;DJL-7263;09/12/2024;112090;41,00; R$262,02 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;MOB-17108;EEF7208;09/12/2024;52404;6,00; R$37,62 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;VO-17003;TKX5J89;10/12/2024;43;59,57; R$380,68 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;VO-17103;DIW-1J93;10/12/2024;118866;35,93; R$139,05 ;POSTO;ETANOL COMUM;;;;
17GB;VO-17000;FFY5I31;10/12/2024;751;17,63; R$72,11 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17001;SWH6I87;10/12/2024;19361;17,85; R$73,01 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;VO-17000;FFY5I31;10/12/2024;892;21,56; R$88,18 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17001;SWH6I87;10/12/2024;19507;17,65; R$72,20 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;TP-17001;SWH6I87;11/12/2024;19636;11,90; R$48,70 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;VO-17203;TKX3B23;11/12/2024;37;68,56; R$438,13 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;VO-17000;FFY5I31;11/12/2024;1050;25,76; R$105,38 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;AC-17001;GHU-6J06;11/12/2024;56479;43,08; R$275,30 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;MOB-17104;FZF-6232;11/12/2024;70673;11,68; R$67,63 ;POSTO;GASOLINA COMUM;;;;
17GB;MOB-17102;FDF-9996;11/12/2024;81104;9,50; R$55,00 ;POSTO;GASOLINA COMUM;;;;
17GB;TP-17001;SWH6I87;11/12/2024;19769;16,20; R$66,29 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;UR-17105;FKG0E65;12/12/2024;38197;39,63; R$245,31 ;POSTO;DIESEL S-10;;;;
17GB;VO-17000;FFY5I31;12/12/2024;1260;36,34; R$148,65 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;BOM - 0001;BOM-0001;12/12/2024;142;10,61; R$66,57 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;VO-17100;GAW-5G93;12/12/2024;25026;12,95; R$52,97 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;VO-17000;FFY5I31;12/12/2024;1384;18,58; R$76,02 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;VO-17103;DIW-1J93;13/12/2024;119172;35,70; R$146,00 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB; UR-17102;FYC-1A73;13/12/2024;24980;24,87; R$158,95 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;13/12/2024;56764;37,71; R$240,98 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;VO-17000;FFY5I31;13/12/2024;1685;46,15; R$188,77 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;UR-17105;FKG0E65;14/12/2024;38465;36,57; R$226,37 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;14/12/2024;43199;116,05; R$718,35 ;POSTO;DIESEL S-10;;;;
17GB;UR-17101;FVY-9I93;15/12/2024;36972;36,18; R$231,20 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;TP-17001;SWH6I87;16/12/2024;19817;9,07; R$37,08 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;AC-17001;GHU-6J06;16/12/2024;56941;35,27; R$225,37 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17101;GCN6C35;16/12/2024;66711;151,19; R$966,16 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;BOM - 0001;BOM-0001;16/12/2024;143;8,00; R$50,20 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;VO-17000;FFY5I31;16/12/2024;1938;40,59; R$166,01 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;
17GB;AT-17101;STA-3H63;17/12/2024;8598;115,17; R$735,95 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;UT-17003;DJL-7263;17/12/2024;112270;18,99; R$121,37 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;VO-17000;FFY5I31;17/12/2024;2069;17,16; R$70,21 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;VO-17003;TKX6F66;17/12/2024;40;62,95; R$402,25 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;UR-17105;FKG0E65;17/12/2024;38659;36,55; R$226,24 ;POSTO;DIESEL S-10;;;;
17GB;UR-17101;FVY-9I93;18/12/2024;37136;24,43; R$156,14 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17103;DJM-3481;18/12/2024;148024;115,29; R$736,69 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;VO-17004;EXM2C24;18/12/2024;62909;53,55; R$229,75 ;POSTO SHOPPING;ETANOL COMUM;;;;
17GB;MOB-17104;FZF-6232;18/12/2024;70828;9,12; R$57,23 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17102;FDF-9996;18/12/2024;81261;9,02; R$56,55 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;VO-17103;DIW-1J93;19/12/2024;119505;37,70; R$145,90 ;POSTO;ETANOL COMUM;;;;
17GB;TP-17001;SWH6I87;19/12/2024;20834;23,66; R$96,77 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
