              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;
17GB DEZ25;;;;;;;;;;;
;;; ;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;
;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;
17GB;AB-17201;GGR8E95;01/12/2025;46086;156,30; R$1.030,61 ;Posto Ferraz;DIESEL S10;;;
17GB;TP-17001;SWH6I87;01/12/2025;51221;20,22; R$86,74 ;ITAMARATHY;ALCOOL;;;
17GB;ABS-17205;GIC3F68;01/12/2025;73259;192,08; R$1.208,18 ;Qualit;DIESEL S10;;;
17GB;MOB-17206;GCC9F64;01/12/2025;16332;9,86; R$61,03 ;Petrobras;GASOLINA;;;
17GB;MOB-17207;FSP3D32;01/12/2025;16291;10,05; R$61,91 ;Petrobras;GASOLINA;;;
17GB;TP-17000;TIZ0D86;01/12/2025;10404;28,74; R$123,29 ;itamarathy;ALCOOL;;;
17GB;UR-17105;FKG0E65;01/12/2025;53795;37,59; R$247,69 ;Equipe Quality;DIESEL S10;;;
17GB;UR-17213;FYT2A23;01/12/2025;57896;43,21; R$284,75 ;Ipiranga centro ferraz;DIESEL S10;;;
17GB;MOB-17107;EEF-7217;02/12/2025;59054;5,16; R$33,02 ;Quality shoop;GASOLINA;;;
17GB;MOB-17106;EEF-7207;02/12/2025;49921;4,90; R$31,31 ;Posto Quality;GASOLINA;;;
17GB;TP-17001;SWH6I87;02/12/2025;51378;20,76; R$89,02 ;ITAMARATI;ALCOOL;;;
17GB;ABS-17103;DJM3E81;02/12/2025;153826;117,21; R$772,48 ;Posto equipe quality;DIESEL S10;;;
17GB;TP-17000;SWH6I87;02/12/2025;10649;27,04; R$116,00 ;ITAMARATI;ALCOOL;;;
17GB;VO-17004;EXM2C24;02/12/2025;74638;27,38; R$122,95 ;Equipe Quality;ALCOOL;;;
17GB;ABS-17106;GDH3H25;03/12/2025;55344;104,52; R$623,98 ;Titans;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;03/12/2025;10871;28,97; R$124,28 ;itamarathy;ALCOOL;;;
17GB;ABS-17101;GCN6C35;03/12/2025;74668;77,56; R$511,10 ;Equipe quality;DIESEL S10;;;
17GB;EP-17101;TLZ5A72;04/12/2025;3950;19,09; R$85,71 ;EQUIPE;ALCOOL;;;
17GB;ABS-17102;EEF7D31;04/12/2025;178056;93,54; R$616,42 ;Equipe Quality;DIESEL S10;;;
17GB;TP-17001;SWH6I87;04/12/2025;51543;17,89; R$80,33 ;POSTO EQUIPE QUALITY;ALCOOL;;;
17GB;MOB-17107;EEF-7217;04/12/2025;59174;4,23; R$27,03 ;Quality shoop;GASOLINA;;;
17GB;MOB-17106;EEF-7207;04/12/2025;50041;4,37; R$27,91 ;Posto Quality;GASOLINA;;;
17GB;UR-17213;FYT2A23;04/12/2025;58134;39,40; R$259,65 ;Ipiranga centro;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;04/12/2025;11090;22,62; R$97,04 ;ITAMARATI;ALCOOL;;;
17GB;UR-17105;FKG0E65;04/12/2025;54045;38,77; R$255,50 ;Equipe quality;DIESEL S10;;;
17GB;AC-17001;GHU6J06;05/12/2025;72471;49,09; R$323,56 ;Posto Qualit shopping;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;05/12/2025;11255;16,75; R$71,86 ;itamarathy;ALCOOL;;;
17GB;ABS-17205;GIC3F68;05/12/2025;73598;166,97; R$1.033,54 ;Ipiranga;DIESEL S10;;;
17GB;UR-17105;FKG0E65;06/12/2025;54254;26,90; R$177,27 ;POSTO EQUIPE QUALITY LTDA;DIESEL S10;;;
17GB;ABS-17103;DJM3E81;07/12/2025;154135;118,45; R$780,59 ;Equipe Qualite Ltda;DIESEL S10;;;
17GB;ABS-17201;GGR8E95;08/12/2025;46316;137,96; R$909,16 ;Auto posto Ferraz centro;DIESEL S10;;;
17GB;UR-17102;FYC1A73;08/12/2025;45987;38,69; R$255,00 ;POST EQUIPE QUALITY MONOEL B LIMA FILHO;DIESEL S10;;;
17GB;UR-17214;GGT3F22;08/12/2025;57027;32,41; R$203,86 ;Baruel;DIESEL S10;;;
17GB;VO-17004;EXM2C24;08/12/2025;74890;22,64; R$101,65 ;POSTO EQUIPE QUALITY;ALCOOL;;;
17GB;ABE-04;BFG-2897;08/12/2025;109710;31,80; R$209,62 ;Equipe quality;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;08/12/2025;11474;19,86; R$85,20 ;itamarathy;ALCOOL;;;
17GB;AC-17002;GIL8E75;08/12/2025;178391;46,28; R$305,03 ;Posto Qualit shopping;DIESEL S10;;;
17GB;ABS-17205;GIC3F68;08/12/2025;73598;112,83; R$698,42 ;Ipiranga;DIESEL S10;;;
17GB;ABS-17105;GIC4H16;09/12/2025;76880;124,77; R$821,01 ;REINA O SOL;DIESEL S10;;;
17GB;TP-17001;SWH6I87;09/12/2025;51806;24,03; R$103,09 ;ITAMARATHY;ALCOOL;;;
17GB;MOB-17107;EEF-7217;09/12/2025;59313;4,67; R$29,84 ;Posto quality shopping;GASOLINA;;;
17GB;MOB-17106;EEF-7207;09/12/2025;50204;5,79; R$37,01 ;Posto equipe quality;GASOLINA;;;
17GB;ABS-17101;GCN6C35;09/12/2025;74783;72,64; R$486,00 ;Posto shopping Mogi;DIESEL S10;;;
17GB;UR-17105;FKG0E65;10/12/2025;54498;36,41; R$239,94 ;Equipe Quality;DIESEL S10;;;
17GB;UR-17213;FYT2A23;10/12/2025;58320;34,65; R$228,34 ;Ipiranga centro Ferraz;DIESEL S10;;;
17GB;VO-17102;EFC-7492;10/12/2025;70572;33,90; R$145,07 ;Auto Posto Reina o Sol;ALCOOL;;;
17GB;VO-17206;BIF2I64;10/12/2025;39401;54,40; R$342,10 ;Quality Baruel;DIESEL;;;
17GB;ABE-04;BFG-2897;10/12/2025;109732;65,56; R$432,06 ;Equipe quality;DIESEL S10;;;
17GB;AC-17002;GIL8E75;11/12/2025;178543;24,65; R$162,47 ;Posto Qualit shopping;DIESEL S10;;;
17GB;ABS-17106;GDH3H25;11/12/2025;55582;120,14; R$755,74 ;MASTER MOGI ( FRANCISCO FERREIRA LOPES);DIESEL S10;;;
17GB;MOB-17106;EEF-7207;11/12/2025;50307;4,03; R$25,80 ;Posto Quality;GASOLINA;;;
17GB;MOB-17107;EEF-7217;11/12/2025;59416;3,96; R$25,29 ;Posto EQUIPE QUALITY;GASOLINA;;;
17GB;TP-17000;TIZ0D86;11/12/2025;11667;21,29; R$95,59 ;Posto EQUIPE QUALITY;ALCOOL;;;
17GB;TP-17000;TIZ0D86;11/12/2025;11778;11,89; R$51,01 ;itamarathy;ALCOOL;;;
17GB;UR-17214;GGT3F22;12/12/2025;57267;38,51; R$242,23 ;Posto Quality;DIESEL S10;;;
17GB;EP-17201;TIX7A89;12/12/2025;7083;23,69; R$146,64 ;Quality Baruel;GASOLINA;;;
17GB;MOB-17107;EEF-7217;12/12/2025;59579;5,14; R$32,84 ;Quality shoop;GASOLINA;;;
17GB;UR-17102;FYC1A73;12/12/2025;46277;44,69; R$294,50 ;Equipe quality;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;12/12/2025;12007;29,96; R$128,53 ;ITAMARATHY;ALCOOL;;;
17GB;ABS-17101;GCN6C35;12/12/2025;74914;50,62; R$333,63 ;Equipe quality;DIESEL S10;;;
17GB;AB-17201;GGR8E95;13/12/2025;46472;92,47; R$609,38 ;Posto Ferraz;DIESEL S10;;;
17GB;VO-17101;TKX6F66;13/12/2025;4766;47,78; R$314,89 ;Equipe quality;DIESEL S10;;;
17GB;MOB-17106;EEF-7207;12/12/2025;50470;5,03; R$32,14 ;posto quality;GASOLINA;;;
17GB;AC-17002;GIL8E75;14/12/2025;178724;35,94; R$236,84 ;Posto Qualit shopping;DIESEL S10;;;
17GB;ABS-17105;GIC4H16;14/12/2025;77080;84,79; R$557,93 ;POSTO REINA O SOL;DIESEL;;;
17GB;UR-17105;FKG0E65;12/12/2025;54611;27,04; R$178,19 ;POSTO EQUIPE QUALITY LTDA;DIESEL S10;;;
17GB;ABS-17205;GIC3F68;14/12/2025;74196;145,41; R$900,09 ;Ipiranga;DIESEL S10;;;
17GB;EP-17101;TLZ5A72;15/12/2025;4035;21,29; R$95,60 ;Equipe;ALCOOL;;;
17GB;UR-17211;FQO1D01;15/12/2025;76654;57,48; R$355,48 ;Ipiranga;DIESEL S10;;;
17GB;UR-17213;FYT2A23;15/12/2025;58544;41,61; R$274,21 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;
17GB;VO-17003;TKX5J89;15/12/2025;5951;43,63; R$287,50 ;EQUIPE QUALITY LTDA;DIESEL S10;;;
17GB;TP-17203;FHN-0083;15/12/2025;185161;16,39; R$101,45 ;Ipiranga;GASOLINA;;;
17GB;UR-17210;EWZ1B95;15/12/2025;55382;60,86; R$401,07 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;15/12/2025;12232;23,79; R$102,06 ;itamarathy;ALCOOL;;;
17GB;ABS-17101;GCN6C35;15/12/2025;74986;41,23; R$271,75 ;Equipe quality;DIESEL S10;;;
17GB;TP-17001;SWH6I87;16/12/2025;51932;14,49; R$65,09 ;POSTO EQUIPE QUALITY;ALCOOL;;;
17GB;UR-17105;FKG0E65;16/12/2025;54840;43,75; R$288,36 ;Quality;DIESEL S10;;;
17GB;VO-17007;DJL-3120;16/12/2025;144704;50,60; R$323,33 ;Ipiranga centro;GASOLINA;;;
17GB;UR-17210;EWZ1B95;16/12/2025;55448;18,72; R$123,36 ;Ipiranga Ferraz;DIESEL S10;;;
17GB;UR-17102;FYC1A73;16/12/2025;46539;36,57; R$230,08 ;Francisco ferreira lopes;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;16/12/2025;12473;30,90; R$132,56 ;ITAMARATHY;ALCOOL;;;
17GB;UR-17211;FQO1D01;17/12/2025;76897;38,97; R$241,04 ;Ipiranga;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;17/12/2025;12589;13,74; R$58,94 ;itamarathy;ALCOOL;;;
17GB;TP-17001;SWH6I87;17/12/2025;52052;14,57; R$62,51 ;itamarathy;ALCOOL;;;
17GB;ABS-17205;GIC3F68;17/12/2025;74431;129,26; R$800,06 ;Ipiranga Jd Odete;DIESEL S10;;;
17GB;ABS-17203;SWV0I18;17/12/0025;39335;122,60; R$771,15 ;Posto Quality;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;19/12/2025;12700;13,68; R$61,42 ;itamarathy;ALCOOL;;;
17GB;AT-17205;GIU7B96;19/12/2025;16850;173,30; R$1.090,06 ;Petrobras;DIESEL S10;;;
17GB;UR-17102;FYC1A73;19/12/2025;46743;30,00; R$188,70 ;Posto master mogi;DIESEL S10;;;
