              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;
17GB FEV23 ;;;;;;;;;;;;
;;; ;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;
;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;
17GB;ABS-17202;DJP-9419;01/02/2023;88193;94,00; R$ 638,26 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;04/02/2023;88331;68,73; R$ 466,68 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;13/02/2023;88492;100,95; R$ 645,07 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;17/02/2023;88665;91,10; R$ 581,55 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;22/02/2023;88800;86,78; R$ 554,52 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;27/02/2023;88974;110,26; R$ 704,56 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;02/02/2023;21749;50,26; R$ 339,91 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;04/02/2023;21934;36,91; R$ 250,62 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;07/02/2023;22147;46,40; R$ 310,42 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;11/02/2023;22377;18,04; R$ 306,00 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;17/02/2023;22697;65,58; R$ 419,06 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;20/02/2023;22827;31,57; R$ 201,73 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;24/02/2023;23008;42,95; R$ 274,45 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17205;GIC-3F68;03/02/2023;33019;134,65; R$ 900,81 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;11/02/2023;33305;163,73; R$ 1.013,61 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;16/02/2023;33515;166,11; R$ 1.028,33 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;23/02/2023;33838;180; R$ 1.114,20 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;26/02/2023;33992;98,12; R$ 607,36 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;28/02/2023;34185;95,72; R$592,52 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;01/02/2023;26004;40,96; R$274,02 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;03/02/2023;26319;49,74; R$332,76 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;05/02/2023;26532;32,75; R$ 219,10 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;07/02/2023;26832;46,16; R$308,81 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;10/02/2023;27081;42,98; R$266,50 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;13/02/2023;27386;47,71; R$295,32 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;17/02/2023;27688;42,81; R$264,99 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;19/02/2023;27865;29,82; R$184,59 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;23/02/2023;28130;43,21; R$267,50 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;26/02/2023;28451;18,08; R$297,62 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17102;EEF-7331;01/02/2023;154419;90,51; R$596,51 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;05/02/2023;154696;65,27; R$430,16 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;13/02/2023;154956;76,83; R$475,57 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;19/02/2023;155174;64,00; R$402,60 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;24/02/2023;155344;55,46; R$354,36 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;03/02/2023;14658;107,69; R$709,70 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;05/02/2023;14975;120,09; R$791,39 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;09/02/2023;15091;17,54; R$115,59 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;11/02/2023;15181;96,93; R$600,00 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;18/02/2023;15501;151,00; R$980,01 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;25/02/2023;15741;129,24; R$800,00 ;POSTO;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;03/02/2023;3740;45,98; R$303,01 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;05/02/2023;3980;47,60; R$313,69 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;07/02/2023;4152;27,20; R$179,24 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;09/02/2023;4463;51,35; R$338,40 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;12/02/2023;4769;56,51; R$349,79 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;13/02/2023;4903;25,45; R$157,57 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;16/02/2023;5131;45,03; R$292,27 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;18/02/2023;5355;43,08; R$270,99 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;20/02/2023;5662;53,55; R$336,87 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;22/02/2023;5909;44,29; R$283,01 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;24/02/2023;6052;32,14; R$205,40 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;26/02/2023;6379;56,03; R$358,05 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17002;GIL-8475;23/02/2023;153605;60,96; R$389,56 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17002;GIL-8475;24/02/2023;153613;13,79; R$89,54 ;POSTO SHOPPING;DIESEL S-10;;;;
17GB;AC-17002;GIL-8475;26/02/2023;154120;64,58; R$412,64 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AS-17101;DBS-3888;01/02/2023;282340;85,22; R$561,63 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AS-17101;DBS-3888;05/02/2023;282574;68,33; R$463,97 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;
17GB;AS-17101;DBS-3888;06/02/2023;282766;42,18; R$277,97 ;POSTO;DIESEL S-10;;;;
17GB;AS-17101;DBS-3888;11/02/2023;282965;60,88; R$376,85 ;POSTO;DIESEL S-10;;;;
17GB;AS-17101;DBS-3888;15/02/2023;283211;77,44; R$479,35 ;POSTO;DIESEL S-10;;;;
17GB;AS-17101;DBS-3888;20/02/2023;283513;88,75; R$549,36 ;POSTO;DIESEL S-10;;;;
17GB;AS-17101;DBS-3888;27/02/2023;283740;70,76; R$438,00 ;POSTO;DIESEL S-10;;;;
17GB;ASE-17101;BFG-1779;05/02/2023;152902;68,15; R$449,12 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ASE-17101;BFG-1779;10/02/2023;153042;94,73; R$624,29 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ASE-17101;BFG-1779;14/02/2023;153281;111,00; R$687,14 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ASE-17101;BFG-1779;17/02/2023;153440;104,33; R$656,26 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ASE-17101;BFG-1779;21/02/2023;153618;97,70; R$614,57 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;BOM - 0001;BOM-0001;14/02/2023;111;4,33; R$22,03 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;EQUIPAMENTO;;;
17GB;BOM-05;BOM-0002;09/02/2023;4;5,02; R$25,05 ;POSTO;GASOLINA COMUM;EQUIPAMENTO;;;
17GB;BOM-05;BOM-0002;25/02/2023;5;3,41; R$17,02 ;POSTO;GASOLINA COMUM;EQUIPAMENTO;;;
17GB;CA-17001;BVZ-7844;24/02/2023;250761;28,82; R$187,09 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;
17GB;MO-17001;DJM-4557;17/02/2023;152860;16,87; R$106,14 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;MO-17001;DJM-4557;24/02/2023;153294;57,28; R$366,00 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;MOB-17101;FHI-7907;01/02/2023;64587;6,50; R$33,76 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17101;FHI-7907;05/02/2023;64770;10,00; R$51,92 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17101;FHI-7907;09/02/2023;64850;5,31; R$27,03 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
