              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;
17GB JUL23 ;;;;;;;;;;;;
;;; ;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;
;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;
17GB;ABS-17202;DJP-9419;01/07/2023;92202;112.59; R$606,86 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;08/07/2023;92362;138.00; R$743,82 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;14/07/2023;92549;163.22; R$879,76 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;22/07/2023;92782;150.02; R$793,61 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;29/07/2023;93040;140.57; R$743,62 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;01/07/2023;30344;39,57; R$219,25 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;04/07/2023;30518;31,89; R$171,89 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;08/07/2023;30726;38,16; R$205,68 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;15/07/2023;31108;60,13; R$324,10 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;20/07/2023;31354;41,12; R$221,64 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;26/07/2023;31617;46,78; R$247,47 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;29/07/2023;31836;36,43; R$192,71 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;VO-17007;DJL-3120;26/07/2023;135077;48,16; R$278,85 ;AUTO POSTO FERRAZ CENTRO ;GASOLINA ;;;;
17GB;MOTO SERRA;;14/07/2023;;15.42; R$15,42 ;AUTO POSTO FERRAZ CENTRO ;GASOLINA ;;;;
17GB;VO-17102;EFC-7492;03/07/2023;50774;23,55; R$96,12 ;POSTO REINA O SOL;ETANOL COMUM;;;;
17GB;VO-17102;EFC-7492;06/07/2023;50856;14,77; R$60,29 ;POSTO PORTA DO SOL;ETANOL COMUM;;;;
17GB;VO-17102;EFC-7492;12/07/2023;51017;26,81; R$109,41 ;POSTO REINA O SOL;ETANOL COMUM;;;;
17GB;VO-17102;EFC-7492;24/07/2023;51155;25,71; R$99,76 ;POSTO REINA O SOL;ETANOL COMUM;;;;
17GB;AB-17102;FEJ-7954;01/07/2023;124871;87,15; R$468,90 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;03/07/2023;124954;50,45; R$271,46 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;07/07/2023;125118;86,92; R$467,66 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;11/07/2023;125267;86,71; R$466,54 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;15/07/2023;125491;97,77; R$526,02 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;17/07/2023;125688;97,77; R$517,22 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;20/07/2023;125823;74,05; R$398,39 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;26/07/2023;126148;136,81; R$695,00 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;AB-17102;FEJ-7954;29/07/2023;126340;92,03; R$ 467,51 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;UR-17105;FKG-0E65;03/07/2023;19388;10,09; R$ 54,29 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;UR-17105;FKG-0E65;12/07/2023;19566;24,87; R$ 133,81 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;UR-17105;FKG-0E65;24/07/2023;19793;29,79; R$ 160,30 ;POSTO REINA O SOL;DIESEL S-10;;;;
17GB;ABS-17205;GIC-3F68;19/07/2023;39500;94,54; R$ 490,46 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;24/07/2023;39696;113,85; R$ 590,88 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;28/07/2023;39955;128,56; R$ 667,23 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;02/07/2023;40512;30,85; R$ 163,20 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;05/07/2023;40733;31,38; R$ 166,00 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;08/07/2023;40964;37,81; R$ 200,01 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;11/07/2023;41273;46,86; R$ 247,89 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;12/07/2023;41474;32,80; R$ 173,51 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;16/07/2023;41609;44,52; R$ 235,51 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;19/07/2023;41874;35,63; R$ 184,92 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;23/07/2023;41991;39,89; R$210,82 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;28/07/2023;42382;34,86; R$180,92 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17102;EEF-7331;05/07/2023;157595;49,15; R$260,00 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17105;GIC-4H16;05/07/2023;38475;89,99; R$476,07 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17105;GIC-4H16;07/07/2023;38612;72,95; R$385,92 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17105;GIC-4H16;13/07/2023;38865;118,84; R$628,65 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17105;GIC-4H16;14/07/2023;39197;123,83; R$655,09 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17105;GIC-4H16;15/07/2023;39387;102,79; R$543,77 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17105;GIC-4H16;19/07/2023;39559;94,91; R$ 502,06 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17105;GIC-4H16;24/07/2023;39826;137,09; R$ 725,21 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17105;GIC-4H16;28/07/2023;40045;130,44; R$ 690,06 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;05/07/2023;19645;149,09; R$ 758,87 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;10/07/2023;19904;125,29; R$ 637,73 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;15/07/2023;20270;160,27; R$ 847,85 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;17/07/2023;20526;110,54; R$ 562,65 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;21/07/2023;20756;106,42; R$ 563,00 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;27/07/2023;20966;108,27; R$ 572,80 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;31/07/2023;21205;114,15; R$ 569,61 ;POSTO;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;07/07/2023;16447;41,78; R$ 221,01 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;09/07/2023;16602;31,96; R$ 169,10 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;11/07/2023;16858;40,68; R$ 215,24 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;14/07/2023;17042;33,12; R$ 175,23 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;17/07/2023;17349;48,44; R$ 256,24 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;17/07/2023;17613;42,16; R$ 223,00 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;21/07/2023;17973;58,67; R$310,34 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;24/07/2023;18125;31,37; R$165,96 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;27/07/2023;18374;44,75; R$236,75 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;28/07/2023;18555;38,07; R$201,39 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;30/07/2023;18770;33,17; R$175,50 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17002;GIL-8475;03/07/2023;156689;40,50; R$214,27 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17002;GIL-8475;06/07/2023;156934;40,27; R$213,03 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AS-17101;DBS-3888;20/07/2023;284416;75,50; R$384,30 ;POSTO MACHICO;DIESEL S-10;;;;
17GB;AS-17101;DBS-3888;30/07/2023;284632;80,27; R$400,55 ;POSTO;DIESEL S-10;;;;
17GB;ASE-17101;BFG-1779;02/07/2023;156329;140,11; R$713,16 ;POSTO;DIESEL S-10;;;;
17GB;ASE-17101;BFG-1779;10/07/2023;156580;161,30; R$821,02 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17103;DJM-3481;31/07/2023;136525;127,01; R$671,89 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;BOM - 0001;BOM-0001;07/07/2023;123;15,22; R$86,62 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
