              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;;;
17GB JUL24 ;;;;;;;;;;;;;;
;;; ;;;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;;;
17GB;ABS-17102;EEF-7331;01/07/2024;167060;61,00; R$377,59 ;POSTO;DIESEL S-10;;;;;;
17GB;ABS-17103;DJM-3481;01/07/2024;141784;133,55; R$840,04 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17103;DJM-3481;07/07/2024;142240;172,67; R$1.086,11 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17103;DJM-3481;11/07/2024;142430;90,05; R$575,45 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17103;DJM-3481;15/07/2024;142701;111,72; R$713,89 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17103;DJM-3481;22/07/2024;143152;225,69; R$1.442,16 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17103;DJM-3481;27/07/2024;143364;107,56; R$687,33 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17103;DJM-3481;29/07/2024;143778;164,17; R$1.049,05 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;04/07/2024;36338;132,48; R$820,05 ;POSTO;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;11/07/2024;36580;108,24; R$670,01 ;POSTO;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;17/07/2024;36933;141,91; R$878,42 ;POSTO;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;22/07/2024;37161;120,86; R$772,34 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;27/07/2024;37363;109,60; R$700,35 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;04/07/2024;45560;57,72; R$363,10 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;07/07/2024;45929;55,01; R$346,03 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;10/07/2024;46190;33,71; R$215,40 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;13/07/2024;46444;42,37; R$270,75 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;16/07/2024;46756;45,76; R$292,43 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;29/07/2024;47187;60,08; R$383,92 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17002;GIL-8475;15/07/2024;165035;52,65; R$336,42 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17002;GIL-8475;19/07/2024;165532;67,70; R$432,61 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17002;GIL-8475;22/07/2024;165797;52,04; R$332,54 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17002;GIL-8475;25/07/2024;166001;40,23; R$257,12 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17002;GIL-8475;27/07/2024;166335;49,15; R$314,09 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ASE-17101;BFG-1779;22/07/2024;162270;198,04; R$1.265,48 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AT-17101;STA-3H63;05/07/2024;5082;172,14; R$1.082,76 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AT-17101;STA-3H63;19/07/2024;5259;123,17; R$787,07 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AT-17101;STA-3H63;24/07/2024;5448;150,68; R$925,18 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;;;
17GB;AT-17101;STA-3H63;29/07/2024;5804;185,76; R$1.187,03 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;EQUIPAMENTO;EQUIP-01;07/07/2024;136;5,13; R$30,76 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;EQUIPAMENTO;EQUIP-02;04/07/2024;27;3,50; R$19,22 ;POSTO;GASOLINA COMUM;;;;;;
17GB;CA-17001;BVZ-7844;01/07/2024;253417;64,97; R$398,93 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;;;
17GB;MOB-17102;FDF-9996;03/07/2024;76296;6,75; R$37,06 ;POSTO;GASOLINA COMUM;;;;;;
17GB;MOB-17102;FDF-9996;04/07/2024;76382;5,00; R$29,96 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17102;FDF-9996;10/07/2024;76481;7,12; R$43,39 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17102;FDF-9996;15/07/2024;76625;9,52; R$57,98 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;03/07/2024;64899;6,74; R$37,00 ;POSTO;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;04/07/2024;64987;5,00; R$30,00 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;10/07/2024;65087;6,58; R$40,12 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;15/07/2024;65235;9,17; R$55,83 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;19/07/2024;65332;6,01; R$37,72 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;25/07/2024;65476;11,26; R$70,61 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;31/07/2024;65606;7,68; R$48,15 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17105;FZQ-6077;19/07/2024;57471;9,13; R$57,25 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17105;FZQ-6077;25/07/2024;57615;9,92; R$62,25 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17105;FZQ-6077;31/07/2024;57745;7,81; R$49,00 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;TP-17000;SVX-6D77;01/07/2024;4770;26,09; R$101,52 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;02/07/2024;5043;30,43; R$118,39 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;03/07/2024;5289;25,27; R$98,33 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;04/07/2024;5550;25,60; R$99,60 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;05/07/2024;5806;26,73; R$104,01 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;10/07/2024;6050;23,24; R$92,73 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;11/07/2024;6309;31,70; R$126,51 ;PETROCIN;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;12/07/2024;6558;20,77; R$82,90 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;15/07/2024;6819;25,72; R$102,65 ;PETROCIN;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;23/07/2024;7090;31,31; R$137,45 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;24/07/2024;7214;14,25; R$61,16 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;25/07/2024;7463;24,01; R$103,02 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;29/07/2024;7712;25,17; R$108,00 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;30/07/2024;7957;23,66; R$101,53 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;SVX-6D77;31/07/2024;8210;26,31; R$112,90 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;01/07/2024;2998;17,37; R$69,32 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;02/07/2024;3149;18,38; R$73,35 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;03/07/2024;3301;18,08; R$72,14 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;04/07/2024;3487;21,87; R$87,29 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;05/07/2024;3647;18,91; R$75,44 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;11/07/2024;3885;25,41; R$103,91 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;12/07/2024;4040;18,46; R$73,69 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;16/07/2024;4207;19,91; R$85,41 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;16/07/2024;4318;10,77; R$46,22 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;17/07/2024;4578;25,46; R$104,13 ;PETROCIN;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;18/07/2024;4757;17,53; R$76,98 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;18/07/2024;4878;15,71; R$67,42 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;19/07/2024;5079;20,40; R$83,46 ;PETROCIN;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;22/07/2024;5207;13,49; R$57,88 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
