              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;;;
17GB JUN24 ;;;;;;;;;;;;;;
;;; ;;;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;;;
17GB;ABS-17102;EEF-7331;03/06/2024;166401;49,71; R$312,69 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17102;EEF-7331;10/06/2024;166571;69,26; R$435,65 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17102;EEF-7331;17/06/2024;166837;76,31; R$480,00 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17103;DJM-3481;08/06/2024;140457;49,08; R$308,75 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17103;DJM-3481;13/06/2024;140628;139,11; R$875,02 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17103;DJM-3481;18/06/2024;140923;146,29; R$920,16 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17103;DJM-3481;22/06/2024;141193;147,58; R$928,29 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17103;DJM-3481;24/06/2024;141505;138,08; R$868,55 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;06/06/2024;34743;150,52; R$931,72 ;POSTO;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;11/06/2024;34959;92,23; R$570,90 ;POSTO;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;16/06/2024;35194;112,87; R$710,00 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;21/06/2024;35487;127,31; R$788,05 ;IPIRANGA;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;22/06/2024;35679;85,47; R$529,06 ;POSTO;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;26/06/2024;36044;160,02; R$990,52 ;POSTO;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;04/06/2024;44494;52,90; R$332,79 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;23/06/2024;44794;54,26; R$341,32 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;27/06/2024;45017;47,75; R$300,32 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;30/06/2024;45228;40,14; R$252,46 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17002;GIL-8475;07/06/2024;163444;46,34; R$291,47 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17002;GIL-8475;13/06/2024;163763;56,18; R$353,36 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17002;GIL-8475;15/06/2024;164032;51,35; R$323,02 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17002;GIL-8475;17/06/2024;164398;60,54; R$380,84 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17002;GIL-8475;20/06/2024;164800;61,37; R$386,04 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AT-17101;STA-3H63;08/06/2024;3988;134,94; R$835,28 ;POSTO;DIESEL S-10;;;;;;
17GB;AT-17101;STA-3H63;20/06/2024;4288;152,42; R$943,48 ;IPIRANGA;DIESEL S-10;;;;;;
17GB;AT-17101;STA-3H63;22/06/2024;4436;58,52; R$368,09 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AT-17101;STA-3H63;24/06/2024;4596;102,39; R$644,01 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AT-17101;STA-3H63;28/06/2024;4786;114,13; R$717,90 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;EQUIPAMENTO 01;EQUIPAMENTO;11/06/2024;26;3,46; R$19,00 ;POSTO;GASOLINA COMUM;;;;;;
17GB;CA-17001;BVZ-7844;03/06/2024;253125;64,84; R$398,17 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;;;
17GB;MO-17001;DJM-4557;27/06/2024;159725;23,16; R$145,73 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;MOB-17102;FDF-9996;03/06/2024;75765;4,14; R$24,81 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17102;FDF-9996;06/06/2024;75862;5,53; R$33,14 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17102;FDF-9996;10/06/2024;75979;8,00; R$47,94 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17102;FDF-9996;11/06/2024;76074;6,05; R$36,27 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17102;FDF-9996;25/06/2024;76209;8,42; R$50,46 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;03/06/2024;64091;4,08; R$24,48 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;06/06/2024;64190;6,86; R$41,12 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;10/06/2024;64309;7,45; R$44,64 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;11/06/2024;64404;5,15; R$30,89 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;14/06/2024;64585;10,60; R$63,53 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;21/06/2024;64682;6,32; R$37,86 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;25/06/2024;64812;6,98; R$41,81 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17105;FZQ-6077;12/06/2024;57121;7,90; R$47,30 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17105;FZQ-6077;14/06/2024;57262;7,76; R$46,51 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17105;FZQ-6077;21/06/2024;57358;6,64; R$39,79 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;TP-17000;STC-4H71;03/06/2024;325;25,02; R$97,35 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;04/06/2024;573;23,32; R$90,73 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;06/06/2024;318;33,26; R$132,72 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;06/06/2024;455;15,42; R$60,00 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;07/06/2024;757;32,21; R$125,30 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;10/06/2024;1001;23,76; R$92,45 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;11/06/2024;1244;24,18; R$94,08 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;12/06/2024;1498;25,57; R$99,49 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;13/06/2024;1744;27,48; R$106,92 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;14/06/2024;2004;24,95; R$97,07 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;17/06/2024;2251;24,28; R$94,48 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;18/06/2024;2426;19,37; R$75,36 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;19/06/2024;2684;27,10; R$105,44 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;20/06/2024;2927;22,47; R$87,44 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;21/06/2024;3103;22,27; R$86,63 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;24/06/2024;3355;26,28; R$102,24 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;25/06/2024;3552;24,95; R$97,06 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;26/06/2024;3798;21,51; R$83,71 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;27/06/2024;4045;26,22; R$102,00 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;28/06/2024;4293;23,64; R$91,99 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17000;STC-4H71;30/06/2024;4519;23,00; R$89,47 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;03/06/2024;193;14,51; R$57,90 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;05/06/2024;345;16,42; R$65,51 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;06/06/2024;497;16,14; R$64,39 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;07/06/2024;630;12,94; R$51,64 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;10/06/2024;786;17,40; R$69,43 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;12/06/2024;938;17,75; R$70,81 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;13/06/2024;1214;31,77; R$126,76 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH-6I87;14/06/2024;1366;16,21; R$64,69 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
