              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;;;
17GB MAI24 ;;;;;;;;;;;;;;
;;; ;;;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;;;
17GB;VO-17007;DJL-3120;03/05/2024;139491;38,30; R$233,25 ;AUTO POSTO FERRAZ CENTRO;gasolina;;;;;;
17GB;ABS-17202;DJP-9419;04/05/2024;99737;115,68; R$739,20 ;AUTO POSTO FERRAZ CENTRO;diesel S10;;;;;;
17GB;UR-17208;BFZ-1518;07/05/2024;107578;54,20; R$346,91 ;AUTO POSTO FERRAZ CENTRO;diesel S10;;;;;;
17GB;ABS-17202;DJP-9419;08/05/2024;99865;98,47; R$629,22 ;AUTO POSTO FERRAZ CENTRO;diesel S10;;;;;;
17GB;UR-17208;BFZ-1518;09/05/2024;107896;49,03; R$313,30 ;AUTO POSTO FERRAZ CENTRO;diesel S10;;;;;;
17GB;UR-17208;BFZ-1518;10/05/2024;108073;22,56; R$144,16 ;AUTO POSTO FERRAZ CENTRO;diesel S10;;;;;;
17GB;ABS-17202;DJP-9419;13/05/2024;100133;147,70; R$944,25 ;AUTO POSTO FERRAZ CENTRO;gasolina;;;;;;
17GB;UR-17210;EWZ-1B95;14/05/2024;42081;60,02; R$383,53 ;AUTO POSTO FERRAZ CENTRO;diesel S10;;;;;;
17GB;VO-17007;DJL-3120;15/05/2024;139788;30,00; R$182,70 ;AUTO POSTO FERRAZ CENTRO;gasolina;;;;;;
17GB;ABS-17202;DJP-9419;16/05/2024;100281;91,76; R$586,35 ;AUTO POSTO FERRAZ CENTRO;diesel S10;;;;;;
17GB;ABS-17203;SWV-0I18;24/05/2024;629;214.00; R$1.367,46 ;AUTO POSTO FERRAZ CENTRO;diesel S10;;;;;;
17GB;VO-17007;DJL-3120;27/05/2024;140066;39,63; R$224,90 ;AUTO POSTO FERRAZ CENTRO;gasolina;;;;;;
17GB;ABS-17203;SWV-0I18;29/05/2024;837;125,36; R$801,05 ;AUTO POSTO FERRAZ CENTRO;diesel S10;;;;;;
17GB;ABS-17204;FCQ-0386;13/05/2024;84741;172,28; R$1.049,19 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;ABS-17204;FCQ-0386;17/05/2024;84948;127,96; R$779,28 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;ABS-17204;FCQ-0386;23/05/2024;85293;192,50; R$1.172,32 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;ABS-17204;FCQ-0386;29/05/2024;85632;190,97; R$1.163,01 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17211;FQO-1D01;01/05/2024;51136;33,74; R$205,48 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17211;FQO-1D01;03/05/2024;51392;41,49; R$252,67 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17211;FQO-1D01;06/05/2024;51673;41,93; R$255,35 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17211;FQO-1D01;08/05/2024;51917;36,84; R$224,36 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17211;FQO-1D01;10/05/2024;52198;40,03; R$243,78 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17211;FQO-1D01;15/05/2024;52453;39,96; R$243,36 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17211;FQO-1D01;26/05/2024;53278;33,61; R$204,68 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17211;FQO-1D01;28/05/2024;53597;36,41; R$221,74 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17212;GJH-1F17;19/05/2024;51497;44,51; R$271,07 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17210;EWZ-1B95;14/05/2024;42081;60,02; R$383,53 ;AUTO POSTO FERRAZ CENTRO;diesel S10;;;;;;
17GB;AS-17201;EGI-1400;01/05/2024;195384;15,85; R$100,96 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;AT-17205;GIU-7B96;01/05/2024;10426;121,07; R$771,21 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;UR-17213;FYT-2A23;01/05/2024;31795;44,96; R$286,39 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;ABS-17204;FCQ-0386;01/05/2024;83896;222,50; R$1.417,33 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;VO-17204;GJP-2D64;03/05/2024;14992;26,43; R$150,42 ;AUTO POSTO QUALITY;gasolina;;;;;;
17GB;UR-17214;GGT-3F22;04/05/2024;21911;27,04; R$172,25 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;AS-17201;EGI-1400;04/05/2024;195417;35,69; R$227,40 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;ABS-17204;FCQ-0386;06/05/2024;84223;176,85; R$1.126,53 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;MOTOSSERRA;xxxxxxxx;06/05/2024;1;7,32; R$41,65 ;AUTO POSTO QUALITY;gasolina;;;;;;
17GB;AB-17201;DJP-2731;06/05/2024;221575;170,01; R$1.082,96 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;UR-17214;GGT-3F22;07/05/2024;22237;49,31; R$314,11 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;VO-17205;ECE-0I01;06/05/2024;33359;24,96; R$142,02 ;AUTO POSTO QUALITY;gasolina;;;;;;
17GB;UR-17213;FYT-2A23;06/05/2024;32251;43,62; R$277,86 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;MOB-17206;GCC-9F64;08/05/2024;6765;8,98; R$51,10 ;AUTO POSTO QUALITY;gasolina;;;;;;
17GB;MOB-17207;FSP-3D32;08/05/2024;6769;9,72; R$55,31 ;AUTO POSTO QUALITY;gasolina;;;;;;
17GB;MT-17202;FDB-5316;10/05/2024;7255;8,32; R$47,34 ;AUTO POSTO QUALITY;gasolina;;;;;;
17GB;ABS-17204;FCQ-0386;10/05/2024;84503;166,52; R$1.060,73 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;UR-17213;FYT-2A23;10/05/2024;32465;37,01; R$235,75 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;VO-17204;GJP-2D64;10/05/2024;15274;24,20; R$137,70 ;AUTO POSTO QUALITY;gasolina;;;;;;
17GB;UR-17214;GGT-3F22;10/05/2024;22485;39,09; R$249,00 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;ABS-17201;GGR-8E95;11/05/2024;24788;133,03; R$847,40 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;AT-17205;GIU-7B96;11/05/2024;10563;65,17; R$415,19 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;UR-17214;GGT-3F22;12/05/2024;22735;37,42; R$238,37 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;ABS-17201;GGR-8E95;13/05/2024;25076;118,85; R$757,07 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;UT-17004;FPF-6349;13/05/2024;32697;35,28; R$224,73 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;UR-17213;FYT-2A23;13/05/2024;32697;35,28; R$224,73 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;AS-17201;EGI-1400;14/05/2024;195574;32,74; R$208,61 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;UR-17214;GGT-3F22;14/05/2024;23056;48,21; R$307,10 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;ABS-17201;GGR-8E95;15/05/2024;25290;80,23; R$511,06 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;TP-17205;DJL-9240;15/05/2024;209077;45,85; R$260,89 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;UR-17213;FYT-2A23;17/05/2024;32895;32,41; R$206,45 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;UR-17212;GJH-1F17;17/05/2024;51240;53,53; R$340,98 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;UR-17211;FQO-1D01;18/05/2024;52821;47,82; R$304,61 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;UR-17213;FYT-2A23;18/05/2024;33033;25,52; R$162,56 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;ABS-17201;GGR-8E95;18/05/2024;25535;138,41; R$881,67 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;UR-17214;GGT-3F22;19/05/2024;23342;43,63; R$277,92 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;AT-17205;GIU-7B96;19/05/2024;10651;120,15; R$765,36 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;MOB-17206;GCC-9F64;20/05/2024;7009;7,48; R$42,56 ;AUTO POSTO QUALITY;gasolina;;;;;;
17GB;MOB-17207;FSP-3D32;20/05/2024;7013;7,40; R$42,11 ;AUTO POSTO QUALITY;gasolina;;;;;;
17GB;VO-17206;BIF-2I64;20/05/2024;21090;55,88; R$355,96 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;UR-17213;FYT-2A23;21/05/2024;33326;45,95; R$292,70 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;ABS-17201;GGR-8E95;22/05/2024;25832;140,00; R$891,80 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;UR-17211;FQO-1D01;23/05/2024;53064;34,21; R$217,92 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;VO-17205;ECE-0I01;23/05/2024;34121;37,47; R$213,20 ;AUTO POSTO QUALITY;gasolina;;;;;;
17GB;UR-17214;GGT-3F22;23/05/2024;23646;48,92; R$311,62 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;ABS-17201;GGR-8E95;24/05/2024;26010;70,15; R$446,86 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;UR-17213;FYT-2A23;24/05/2024;33519;36,11; R$230,02 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;ABS-17201;GGR-8E95;25/05/2024;26124;94,83; R$604,07 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;UR-17214;GGT-3F22;26/05/2024;23900;37,87; R$241,23 ;AUTO POSTO QUALITY;diesel S10;;;;;;
17GB;UR-17213;FYT-2A23;27/05/2024;33696;25,87; R$164,79 ;AUTO POSTO QUALITY;diesel S10;;;;;;
