              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;
17GB MAI25;;;;;;;;;;;;
;;; ;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;
;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;
17GB;UR-17211;FQO1D01;02/05/2025;66538;37,34; R$238,60 ;Ipiranga;DIESEL S10;;;;
17GB;UR-17213;FYT2A23;01/05/2025;48836;41,58; R$273,18 ;Quality Baruel;DIESEL S10;;;;
17GB;UR-17213;FYT2A23;03/05/2025;49090;40,62; R$266,87 ;Quality Baruel;DIESEL S10;;;;
17GB;UR-17101;FVY9I93;04/05/2025;43201;31,21; R$205,67 ;Posto Qualit shopping;DIESEL S10;;;;
17GB;MOB-17107;EEF-7217;04/05/2025;52973;5,49; R$34,01 ;Posto quality Manoel Bezerra filho;GASOLINA;;;;
17GB;TP-17001;SWH6I87;05/05/2025;33752;15,27; R$68,55 ;EQUIPE QUALITY;ALCOOL;;;;
17GB;ABS-17105;GIC4H16;05/05/2025;68672;79,00; R$519,82 ;Manhas de sol;DIESEL S10;;;;
17GB;VO-17000;FFY5I31;05/05/2025;12540;43,07; R$180,46 ;posto itamarathy;ALCOOL;;;;
17GB;UR-17102;FYC1A73;05/05/2025;30950;34,49; R$223,84 ;Itamarati;DIESEL S10;;;;
17GB;VO-17103;DIW1J93;06/05/2025;123657;26,80; R$114,99 ;Equipe Quality;ALCOOL;;;;
17GB;ABS-17203;SWV0I18;05/05/2025;21444;135,77; R$892,01 ;Quality baruel;DIESEL S10;;;;
17GB;MOB-17106;EEF-7207;04/05/2025;48262;6,50; R$40,84 ;Posto Quality;GASOLINA;;;;
17GB;MOB-17106;EEF-7207;06/05/2025;48362;3,10; R$19,56 ;Posto Quality;GASOLINA;;;;
17GB;CA-17001;BVZ-7844;05/05/2025;255160;71,95; R$474,15 ;QUALITY;DIESEL S10;;;;
17GB;MOB-17108;EEF-7208;06/05/2025;54095;6,70; R$41,47 ;Quality Manoel Bezerra;GASOLINA;;;;
17GB;TP-17003;FHN-0083;06/05/2025;181591;34,63; R$148,57 ;EQUIPE;ALCOOL;;;;
17GB;UR-17210;EWZ1B95;06/05/2025;51027;75,72; R$498,99 ;IPIRANGA FERRAZ;DIESEL S10;;;;
17GB;VO-17003;TKX5J89;06/05/2025;548;50,42; R$332,32 ;EQUIPE QUALITY;DIESEL S10;;;;
17GB;TP-17001;SWH6I87;07/05/2025;34003;29,76; R$127,67 ;posto equipe quality;ALCOOL;;;;
17GB;VO-17000;FFY5I31;07/05/2025;12926;18,01; R$75,46 ;posto itamarthy;ALCOOL;;;;
17GB;UR-17213;FYT2A23;07/05/2025;49349;40,24; R$265,18 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;VO-17000;FFY5I31;07/05/2025;13052;13,73; R$57,53 ;posto itamarathy;ALCOOL;;;;
17GB;UR-17211;FQO1D01;07/05/2025;66889;48,04; R$311,78 ;Br;DIESEL S10;;;;
17GB;VO-17003;TKX5J89;08/05/2025;908;37,22; R$245,33 ;EQUIPE QUALITY;DIESEL S10;;;;
17GB;UR-17102;FYC1A73;08/05/2025;31148;35,18; R$217,79 ;Itamarati;DIESEL S10;;;;
17GB;UR-17101;FVY9I93;08/05/2025;43390;32,62; R$215,00 ;Quality;DIESEL S10;;;;
17GB;UR-17214;GGT3F22;08/05/2025;44490;37,99; R$246,56 ;Petrobrás;DIESEL S10;;;;
17GB;ABS-17101;GCN6C35;09/05/2025;70373;76,96; R$507,17 ;Posto equipe quality;DIESEL S10;;;;
17GB;VO-17000;FFY5I31;09/05/2025;13353;25,26; R$108,35 ;posto equipe quality;ALCOOL;;;;
17GB;MOB-17106;EEF-7207;09/05/2025;48508;5,18; R$33,10 ;EQUIPE QUALITY SHOPPING;GASOLINA;;;;
17GB;MOB-17108;EEF-7208;09/05/2025;54243;4,88; R$31,18 ;EQUIPE QUALITY SHOPPING;GASOLINA;;;;
17GB;UR-17211;FQO1D01;09/05/2025;67390;39,56; R$248,83 ;Auto posto Tornado;DIESEL S10;;;;
17GB;UR-17212;GJH1F17;10/05/2025;72268;35,58; R$233,76 ;Br;DIESEL S10;;;;
17GB;UR-17102;FYC1A73;11/05/2025;31359;32,87; R$203,50 ;Itamaraty III;DIESEL S10;;;;
17GB;ABS-17106;GDH3H25;11/05/2025;48005;144,62; R$895,21 ;Itamaraty;DIESEL S10;;;;
17GB;AC-17001;GHU6J06;11/05/2025;62173;60,25; R$397,06 ;EQIPE QUALITY;DIESEL S10;;;;
17GB;UR-17211;FQO1D01;11/05/2025;67654;37,86; R$238,14 ;Ipiranga;DIESEL S10;;;;
17GB;ABS-17205;GIC3F68;11/05/2025;63363;161,88; R$1.018,23 ;Ipiranga;DIESEL S10;;;;
17GB;ABS-17203;SWV0I18;11/05/2025;21679;111,26; R$730,98 ;Quality baruel;DIESEL S10;;;;
17GB;TP-17001;SWH6I87;12/05/2025;34424;9,91; R$42,51 ;EQUIPE QUALITY;ALCOOL;;;;
17GB;ABS-17201;GGR8E95;12/05/2025;39324;136,64; R$900,46 ;ipiranga ferraz;DIESEL S10;;;;
17GB;VO-17004;EXM2C24;12/05/2025;68599;35,18; R$157,94 ;Posto equipe quality ltda;ALCOOL;;;;
17GB;VO-17100;GAW5G93;13/05/2025;27487;28,24; R$118,33 ;ITAMARATHY;ALCOOL;;;;
17GB;AT-17101;STA3H63;13/05/2025;9983;109,95; R$713,60 ;Posto Equipe Quality;DIESEL S10;;;;
17GB;VO-17103;DIW1J93;12/05/2025;124329;24,40; R$102,24 ;ITAMARATHY;ALCOOL;;;;
17GB;MOB-17207;FSP3D32;13/05/2025;12382;10,27; R$64,60 ;Petrobrás;GASOLINA;;;;
17GB;MOB-17206;GCC9F64;13/05/2025;12394;10,50; R$66,04 ;Br;GASOLINA;;;;
17GB;TP-17001;SWH6I87;13/05/2025;34584;16,85; R$70,60 ;posto equipe quality;ALCOOL;;;;
17GB;TP-17001;SWH6I87;13/05/2025;34,71;13,66; R$57,24 ;posto itamarathy;ALCOOL;;;;
17GB;VO-17102;EFC-7492;13/05/2025;65959;37,22; R$159,30 ;REINAO SOL;ALCOOL;;;;
17GB;UR-17213;FYT2A23;13/05/2025;49611;47,13; R$310,59 ;Auto Posto Ferraz Centro;DIESEL S10;;;;
17GB;UR-17212;GJH1F17;14/05/2025;72435;28,54; R$185,22 ;Posto Qúality;DIESEL;;;;
17GB;UR-17105;FKG0E65;14/05/2025;44897;45,50; R$295,00 ;Quality;DIESEL S10;;;;
17GB;ABS-17105;GIC4H16;14/05/2025;68876;79,92; R$525,90 ;Reina o sol;DIESEL S10;;;;
17GB;VO-17102;EFC-7492;14/05/2025;66075;18,10; R$77,49 ;Reina Sol;ALCOOL;;;;
17GB;AC-17001;GHU6J06;15/05/2025;62426;41,14; R$271,11 ;Posto Qualit shopping;DIESEL S10;;;;
17GB;VO-17205;ECE0I01;14/05/2025;46215;15,89; R$100,00 ;Tornado;GASOLINA;;;;
17GB;VO-17000;FFY5I31;15/05/2025;13918;30,64; R$128,38 ;posto itamarathy;ALCOOL;;;;
17GB;ABS-17101;GCN6C35;16/05/2025;70576;103,70; R$673,06 ;Posto Equipe Quality LTDA;DIESEL S10;;;;
17GB;UR-17211;FQO1D01;16/05/2025;68146;31,06; R$195,37 ;Ipiranga odete;DIESEL S10;;;;
17GB;TP-17001;SWH6I87;15/05/2025;34861;15,70; R$65,78 ;EQUIPE QUALITY;ALCOOL;;;;
17GB;VO-17003;TKX5J89;16/05/2025;1566;46,02; R$298,66 ;EQUIPE QUALITY;DIESEL S10;;;;
17GB;UR-17101;FVY9I93;16/05/2025;43653;36,81; R$238,90 ;Posto Itamaraty;DIESEL S10;;;;
17GB;MOB-17108;EEF-7208;16/05/2025;54383;5,00; R$29,96 ;Auto posto titans;GASOLINA;;;;
17GB;MOB-17107;EEF-7217;16/05/2025;53138;6,34; R$38,01 ;Posto titans;GASOLINA;;;;
17GB;UR-17102;FYC1A73;16/05/2025;31627;40,45; R$262,52 ;Posto Quality LTDA;DIESEL S10;;;;
17GB;UR-17212;GJH1F17;17/05/2025;72652;32,20; R$211,82 ;Quality;DIESEL S10;;;;
17GB;ABS-17105;GIC4H16;17/05/2025;68988;71,43; R$470,00 ;Porta do sol;DIESEL S10;;;;
17GB;UR-17213;FYT2A23;17/05/2025;49745;27,13; R$178,79 ;Auto posto ferraz de Vasconcelos centro;DIESEL S10;;;;
17GB;VO-17102;EFC-7492;17/05/2025;66246;26,60; R$113,85 ;Reina o Sol;ALCOOL;;;;
17GB;ABS-17106;GDH3H25;18/05/2025;48263;133,81; R$868,45 ;EQUIPE QUALITY;DIESEL S10;;;;
17GB;UR-17211;FQO1D01;18/05/2025;68412;40,30; R$253,49 ;Ipiranga (posto Tornado);DIESEL S10;;;;
17GB;AC-17001;GHU6J06;19/05/2025;62618;36,43; R$236,48 ;Posto Equipe Quality Ltda;DIESEL S10;;;;
17GB;TP-17003;FHN-0083;16/05/2025;181752;29,23; R$122,47 ;POSTO EQUIPE QUALITY LTDA;ALCOOL;;;;
17GB;UR-17212;GJH1F17;19/05/2025;72836;30,27; R$198,87 ;Quality Baruel;DIESEL S10;;;;
17GB;VO-17000;FFY5I31;19/05/2025;14302;38,07; R$159,51 ;posto itamarathy;ALCOOL;;;;
17GB;UR-17102;FYC1A73;19/05/2025;31873;34,65; R$224,88 ;Qualyt;DIESEL S10;;;;
17GB;VO-17103;DIW1J93;18/05/2025;124499;15,94; R$68,63 ;Quality;ALCOOL;;;;
17GB;VO-17103;DIW1J93;18/05/2025;124827;35,92; R$150,51 ;Quality;ALCOOL;;;;
17GB;MOB-17108;EEF-7208;20/05/2025;54522;4,50; R$29,22 ;Posto Quality;GASOLINA;;;;
17GB;ABS-17101;GCN6C35;20/05/2025;70791;97,19; R$630,76 ;Equipe Quality;DIESEL S10;;;;
17GB;ABS-17205;GIC3F68;20/05/2025;63643;174,88; R$1.100,00 ;Ipiranga;DIESEL S10;;;;
17GB;TP-17001;SWH6I87;21/05/2025;35339;18,08; R$75,75 ;posto equipe quality;ALCOOL;;;;
17GB;UR-17211;FQO1D01;21/05/2025;68704;47,11; R$296,32 ;Tornado (Ipiranga);DIESEL S10;;;;
17GB;VO-17000;FFY5I31;21/05/2025;14826;36,87; R$154,44 ;POSTO ITAMARATHY;ALCOOL;;;;
17GB;AC-17001;GHU6J06;21/05/2025;62871;37,86; R$249,77 ;Posto Qualit shopping;DIESEL S10;;;;
17GB;MOB-17107;EEF-7217;16/05/2025;53138;6,34; R$38,01 ;Titans;GASOLINA;;;;
17GB;MOB-17102;FDF-9996;22/05/2025;81587;15,00; R$89,85 ;Titans Frederico Braz cubas;GASOLINA;;;;
17GB;MT-17001;FVJ-2863;22/05/2025;23305;4,65; R$27,91 ;Titans dr frederico Braz cubas;GASOLINA;;;;
