              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;
17GB MAR23 ;;;;;;;;;;;;
;;; ;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;
;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;
17GB;ABS-17202;DJP-9419;04/03/2023;89119;83,08; R$ 522,57 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;11/03/2023;89312;107,00; R$ 673,03 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;14/03/2023;89472;86,97; R$ 547,04 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;18/03/2023;89593;54,49; R$ 342,74 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;25/03/2023;89763;128,33; R$ 781,53 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17202;DJP-9419;31/03/2023;89962;103,10; R$ 627,88 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ1B95;01/03/2023;23167;28,68; R$ 180,40 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;04/03/2023;23363;46,04; R$ 289,59 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;07/03/2023;23543;36,40; R$ 228,96 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;11/03/2023;23821;60,62; R$ 381,30 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;15/03/2023;24023;39,53; R$ 248,64 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;17/03/2023;24200;34,98; R$ 220,02 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;20/03/2023;24394;43,38; R$ 272,86 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;25/03/20023;24681;54,52; R$ 332,03 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;28/03/2023;24829;33,00; R$ 200,97 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;30/03/2023;25050;40,15; R$ 244,51 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;ABS-17105;GIC-4H16;01/03/2023;34271;101,58; R$ 649,15 ;REINA O SOL;DIESEL S-10;;;;
17GB;ABS-17105;GIC-4H16;08/03/2023;34469;92,81; R$ 593,06 ;REINA O SOL;DIESEL S-10;;;;
17GB;ABS-17105;GIC-4H16;14/03/2023;34637;80,23; R$503,86 ;REINA O SOL;DIESEL S-10;;;;
17GB;ABS-17105;GIC-4H16;25/03/2023;35016;159,26; R$1.000,15 ;REINA O SOL;DIESEL S-10;;;;
17GB;ABS-17105;GIC-4H16;29/03/2023;35205;89,84; R$572,29 ;REINA O SOL;DIESEL S-10;;;;
17GB;UR-17105;FKG-0E65;03/03/2023;17375;36,63; R$ 234,10 ;REINA O SOL;DIESEL S-10;;;;
17GB;UR-17101;FVY-9193;01/03/2023;2035;28,63; R$182,97 ;REINA O SOL;DIESEL S-10;;;;
17GB;UR-17101;FVY-9193;06/03/2023;2283;31,50; R$201,34 ;REINA O SOL;DIESEL S-10;;;;
17GB;UR-17101;FVY-9193;13/03/2023;2585;41,52; R$260,80 ;REINA O SOL;DIESEL S-10;;;;
17GB;UR-17101;FVY-9193;16/03/2023;2779;29,08; R$182,65 ;REINA O SOL;DIESEL S-10;;;;
17GB;UR-17101;FVY-9193;21/03/2023;3009;31,00; R$197,47 ;MANHAS DE SOL;DIESEL S-10;;;;
17GB;UR-17101;FVY-9193;27/03/2023;3367;49,27; R$309,46 ;REINA O SOL;DIESEL S-10;;;;
17GB;UR-17101;FVY-9193;29/03/2023;3618;33,80; R$215,36 ;REINA O SOL;DIESEL S-10;;;;
17GB;VO-17102;EFC-7492;01/03/2023;46437;38,67; R$168,61 ;PORTA DO SOL;ETANOL;;;;
17GB;VO-17102;EFC-7492;08/03/2023;46643;38,79; R$158,28 ;REINA O SOL;ETANOL;;;;
17GB;VO-17102;EFC-7492;15/03/2023;46856;35,90; R$143,26 ;REINA O SOL;ETANOL;;;;
17GB;VO-17102;EFC-7492;21/03/2023;47002;26,98; R$110,11 ;REINA O SOL;ETANOL;;;;
17GB;VO-17102;EFC-7492;28/03/2023;47225;37,39; R$149,21 ;REINA O SOL;ETANOL;;;;
17GB;MOTOSERRA;MOT-0001;15/03/2023;61;20,00; R$105,80 ;REINA O SOL;GASOLINA;;;;
17GB;ABS-17205;GIC-3F68;03/03/2023;34300;79,35; R$483,24 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;07/03/2023;34498;104,71; R$637,93 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;10/03/2023;34682;100,00; R$609,00 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;13/03/2023;34908;132,98; R$809,00 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;18/03/2023;35096;125,28; R$762,96 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;21/03/2023;35287;96,23; R$586,04 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;25/03/2023;35451;109,01; R$664,18 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;29/03/2023;35599;91,47; R$557,05 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17205;GIC-3F68;31/03/2023;35622;102,74; R$625,69 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;01/03/2023;28652;34,49; R$213,49 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;03/03/2023;28814;28,37; R$172,70 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;06/03/2023;28980;30,17; R$183,74 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;09/03/2023;29256;43,07; R$262,30 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;10/03/2023;29509;36,60; R$22,89 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;13/03/2023;29760;40,84; R$248,72 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;15/03/2023;29946;31,45; R$191,53 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;19/03/2023;30275;49,36; R$300,60 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;21/03/2023;30514;36,76; R$223,87 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;23/03/2023;30745;35,56; R$216,56 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;27/03/2023;30984;39,26; R$239,08 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;UR-17212;GJH-1F17;31/03/2023;31339;48,64; R$296,22 ;AUTO POSTO IPIRANGA JD ODETE;DIESEL ;;;;
17GB;ABS-17101;BSV-3278;19/03/2023;226730;103,69; R$615,92 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17101;BSV-3278;23/03/2023;226943;55,43; R$332,03 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17101;BSV-3278;27/03/2023;227133;77,94; R$466,86 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;03/03/2023;155613;68,30; R$422,78 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;08/03/2023;155946;72,48; R$448,65 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;12/03/2023;156248;91,21; R$564,61 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;20/03/2023;156459;67,86; R$420,09 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;26/03/2023;156721;72,05; R$446,02 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;04/03/2023;15990;120,54; R$722,03 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;10/03/2023;16213;126,89; R$760,07 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;19/03/2023;16416;116,16; R$695,80 ;POSTO;DIESEL S-10;;;;
17GB;ABS-17106;GDH-3H25;27/03/2023;16740;160,13; R$959,18 ;POSTO;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;02/03/2023;6674;51,34; R$317,80 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;05/03/2023;6869;33,25; R$205,84 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;07/03/2023;7181;57,15; R$353,80 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;09/03/2023;7398;42,65; R$264,01 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;12/03/2023;7662;48,94; R$302,97 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;23/03/2023;7931;39,03; R$241,62 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;25/03/2023;8238;54,71; R$338,64 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;27/03/2023;8503;39,91; R$247,04 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17001;GHU-6J06;30/03/2023;8754;46,05; R$275,86 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AC-17002;GIL-8475;14/03/2023;154465;58,13; R$359,84 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
