              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;
17GB NOV25;;;;;;;;;;;
;;; ;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;
;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;
17GB;MOB-17106;EEF-7207;03/11/2025;49031;5,12; R$30,57 ;Posto titans;GASOLINA;;;
17GB;VO-17001;FFY5I31;03/11/2025;25475;42,23; R$176,95 ;itamarathy;ALCOOL;;;
17GB;UR-17212;GJH1F17;03/11/2025;81453;50,26; R$311,11 ;Ipiranga;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;03/11/2025;7008;22,17; R$92,89 ;itamarathy;ALCOOL;;;
17GB;UR-17214;GGT3F22;03/11/2025;55615;30,80; R$193,73 ;Quality;DIESEL S10;;;
17GB;EP-17101;TLZ5A72;04/11/2025;3520;14,01; R$55,90 ;Master Mogi;ALCOOL;;;
17GB;ABS-17105;GIC4H16;04/11/2025;75746;87,72; R$577,20 ;Reina o Sol;DIESEL S10;;;
17GB;MOB-17107;EEF-7217;04/11/2025;58191;3,47; R$22,19 ;Quality shoop;GASOLINA;;;
17GB;UR-17102;FYC1A73;04/11/2025;43344;48,23; R$313,01 ;Itamaraty;DIESEL S10;;;
17GB;UR-17213;FYT2A23;04/11/2025;56541;31,31; R$206,33 ;Ipiranga centro;DIESEL S10;;;
17GB;TP-17001;SWH6I87;04/11/2025;48756;17,27; R$72,36 ;ITAMARATI;ALCOOL;;;
17GB;UR-17105;FKG0E65;05/11/2025;51538;32,94; R$217,11 ;Posto equipe quality ltda.;DIESEL S10;;;
17GB;MOB-17206;GCC9F64;05/11/2025;15762;9,10; R$56,11 ;Quality (Petrobras);GASOLINA;;;
17GB;MOB-17207;FSP3D32;05/11/2025;15721;11,18; R$69,19 ;PETROBRAS;GASOLINA;;;
17GB;VO-17001;FFY5I31;05/11/2025;25687;37,01; R$155,07 ;itamarathy;ALCOOL;;;
17GB;TP-17000;TIZ0D86;05/11/2025;7229;22,31; R$93,48 ;itamarathy;ALCOOL;;;
17GB;TP-17001;SWH6I87;05/11/2025;48915;19,16; R$80,28 ;itamarathy;ALCOOL;;;
17GB;EP-17101;TLZ5A72;05/11/2025;3655;17,26; R$70,25 ;Itamaraty ll;ALCOOL;;;
17GB;ABS-17205;GIC3F68;05/11/2025;71864;171,56; R$1.061,96 ;Ipiranga Jd Odete;DIESEL S10;;;
17GB;AC-17001;GHU6J06;05/11/2025;70082;33,38; R$220,03 ;Posto Qualit shopping;DIESEL S10;;;
17GB;TP-17101;DBS-3679;06/11/2025;311584;29,43; R$126,26 ;Master Mogi;ALCOOL;;;
17GB;UR-17212;GJH1F17;06/11/2025;81708;44,12; R$273,10 ;Ipiranga;DIESEL S10;;;
17GB;EP-17101;TLZ5A72;06/11/2025;3750;16,67; R$73,18 ;Equipe;ALCOOL;;;
17GB;VO-17102;EFC-7492;06/11/2025;69916;34,60; R$148,07 ;REINA O SOL;ALCOOL;;;
17GB;ABS-17103;DJM3E81;06/11/2025;153128;131,26; R$865,00 ;POSTO EQUIPE QUALITY LTDA;DIESEL S10;;;
17GB;ABS-17106;GDH3H25;06/11/2025;54418;122,66; R$732,28 ;Auto posto titans;DIESEL S10;;;
17GB;VO-17004;EXM2C24;07/11/2025;73854;26,06; R$114,41 ;Equipe Quality;ALCOOL;;;
17GB;TP-17001;SWH6I87;07/11/2025;49233;20,53; R$86,02 ;itamarathy;ALCOOL;;;
17GB;MOB-17107;EEF-7217;07/11/2025;58331;4,90; R$31,31 ;Posto EQUIPE QUALITY LTDA;GASOLINA;;;
17GB;MOB-17106;EEF-7207;07/11/2025;49200;6,65; R$42,52 ;Posto Quality;GASOLINA;;;
17GB;UR-17105;FKG0E65;07/11/2025;51690;29,89; R$197,01 ;Quality;DIESEL S10;;;
17GB;UR-17213;FYT2A23;07/11/2025;56716;37,60; R$247,78 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;
17GB;ABS-17201;GGR8E95;07/11/2025;45272;100,56; R$675,81 ;Ferraz Centro;DIESEL S10;;;
17GB;UR-17102;FYC1A73;07/11/2025;43562;33,56; R$211,15 ;Master mogi;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;07/11/2025;7694;21,50; R$90,04 ;itamarathy;ALCOOL;;;
17GB;AC-17001;GHU6J06;08/11/2025;70352;48,26; R$318,03 ;Equipe quality shopping;DIESEL S10;;;
17GB;AT-17205;GIU7B96;08/11/2025;16472;151,42; R$952,43 ;Quality Baruel;DIESEL S10;;;
17GB;ABS-17105;GIC4H16;08/11/2025;75933;98,19; R$646,09 ;PORTA DO SOL;DIESEL S10;;;
17GB;ABS-17205;GIC3F68;08/11/2025;72030;91,86; R$568,61 ;Ipiranga;DIESEL S10;;;
17GB;UR-17212;GJH1F17;10/11/2025;82064;53,24; R$329,56 ;Ipiranga;DIESEL S10;;;
17GB;UR-17105;FKG0E65;10/11/2025;51977;41,44; R$273,14 ;Posto equipe quality ltda.;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;06/11/2025;7470;29,72; R$124,53 ;ITAMARATI;ALCOOL;;;
17GB;TP-17001;SWH6I87;06/11/2025;49075;18,55; R$72,36 ;ITAMARATI;ALCOOL;;;
17GB;UR-17102;FYC1A73;10/11/2025;43811;38,53; R$250,06 ;Itamaraty;DIESEL S10;;;
17GB;TP-17001;SWH6I87;10/11/2025;49396;21,26; R$93,36 ;Equipe Quality;ALCOOL;;;
17GB;VO-17102;EFC-7492;10/11/2025;70067;22,69; R$99,58 ;POSTO EQIPE QUALITY;ALCOOL;;;
17GB;TP-17000;TIZ0D86;10/11/2025;8013;21,95; R$91,97 ;ITAMARATI;ALCOOL;;;
17GB;TP-17000;TIZ0D86;10/11/2025;7894;20,02; R$83,88 ;ITAMARATI;ALCOOL;;;
17GB;UR-17210;EWZ1B95;10/11/2025;54661;54,01; R$355,93 ;Auto posto Ferraz centro Brasil;DIESEL S10;;;
17GB;ABS-17203;SWV0I18;10/11/2025;32235;125,96; R$792,36 ;Posto Baruel Quality;DIESEL;;;
17GB;AC-17001;GHU6J06;11/11/2025;70658;50,61; R$333,54 ;Equipe quality shopping;DIESEL S10;;;
17GB;ABS-17102;EEF7D31;11/11/2025;177290;87,17; R$578,05 ;Quality;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;11/11/2025;8240;20,73; R$86,82 ;itamarathy;ALCOOL;;;
17GB;UT-17003;DJL-7263;12/11/2025;117752;49,04; R$318,27 ;POSTO ITAMARATY;DIESEL S10;;;
17GB;MOB-17106;EEF-7207;12/11/2025;49282;3,37; R$21,54 ;Posto Quality;GASOLINA;;;
17GB;MOB-17107;EEF-7217;12/11/2025;58412;3,35; R$21,41 ;Posto Quality;GASOLINA;;;
17GB;VO-17102;EFC-7492;12/11/2025;62838;32,03; R$137,08 ;POSTO REINA O SOL;ALCOOL;;;
17GB;TP-17000;TIZ0D86;12/11/2025;8463;27,79; R$116,44 ;ITAMARATI;ALCOOL;;;
17GB;TP-17001;SWH6I87;12/11/2025;49564;20,72; R$86,77 ;ITAMARATI;ALCOOL;;;
17GB;UR-17105;FKG0E65;13/11/2025;52243;44,67; R$294,37 ;Equipe Quallity;DIESEL;;;
17GB;TP-17001;SWH6I87;13/11/2025;49714;18,08; R$79,36 ;itamarathy;ALCOOL;;;
17GB;AB-17201;GGR8E95;13/11/2025;45444;96,84; R$638,18 ;Posto Ferraz;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;13/11/2025;8694;20,63; R$86,40 ;itamarathy;ALCOOL;;;
17GB;UR-17210;EWZ1B95;13/11/2025;54838;38,48; R$253,58 ;Auto posto Ferraz centro;DIESEL S10;;;
17GB;UR-17212;GJH1F17;13/11/2025;82292;35,69; R$220,92 ;Ipiranga;DIESEL S10;;;
17GB;MOB-17107;EEF-7217;14/11/2025;58505;3,18; R$20,35 ;posto quality shoop;GASOLINA;;;
17GB;MOB-17106;EEF-7207;14/11/2025;49377;3,29; R$21,02 ;Posto Quality;GASOLINA;;;
17GB;UR-17102;FYC1A73;14/11/2025;44056;39,01; R$257,06 ;POSTO EQUIPE QUALITY LTDA;DIESEL S10;;;
17GB;TP-17200;TKK3G59;15/11/2025;2777;22,28; R$137,91 ;Posto quality Baruel ltda;GASOLINA;;;
17GB;AC-17001;GHU6J06;15/11/2025;70847;35,71; R$235,34 ;Posto Qualit shopping;DIESEL S10;;;
17GB;ABS-17106;GDH3H25;15/11/2025;54711;145,31; R$867,50 ;Auto Posto Titans;DIESEL S10;;;
17GB;ABS-17105;GIC4H16;15/11/2025;76250;136,06; R$895,29 ;POSTO REINA O SOL;DIESEL S10;;;
17GB;UR-17212;GJH1F17;15/11/2025;82471;31,44; R$194,61 ;Ipiranga;DIESEL S10;;;
17GB;ABS-17103;DJM3E81;16/11/2025;153382;120,79; R$726,01 ;Equipe Quality;DIESEL S10;;;
17GB;Galão de combustível;Sem placa;16/11/2025;14;5,12; R$32,74 ;Equipe Quality;GASOLINA;;;
17GB;UR-17105;FKG0E65;16/11/2025;52427;28,57; R$188,24 ;Posto equipe quality ltda;DIESEL S10;;;
17GB;ABS-17203;SWV0I18;16/11/2025;32430;131,76; R$828,77 ;Quality baruel;DIESEL S10;;;
17GB;UR-17102;FYC1A73;17/11/2025;44293;34,04; R$214,11 ;BR REDE MASTER;DIESEL S10;;;
17GB;VO-17004;EXM2C24;17/11/2025;74149;35,97; R$157,93 ;Equipe Quality;ALCOOL;;;
17GB;EP-17101;TLZ5A72;17/11/2025;3870;20,31; R$87,13 ;MASTER MOGI;ALCOOL;;;
17GB;TP-17001;SWH6I87;17/11/2025;50176;24,50; R$102,66 ;itamarathy;ALCOOL;;;
17GB;TP-17000;TIZ0D86;17/11/2025;8923;22,87; R$95,83 ;itamarathy;ALCOOL;;;
17GB;ABS-17205;GIC3F68;17/11/2025;72455;203,82; R$1.261,65 ;Ipiranga;DIESEL S10;;;
17GB;UR-17213;FYT2A23;17/11/2025;57117;33,17; R$208,64 ;Posto Quality;DIESEL S10;;;
17GB;UR-17105;FKG0E65;18/11/2025;52648;36,95; R$243,50 ;Posto Qualit shopping;DIESEL S10;;;
17GB;EP-17201;TIX7A89;18/11/2025;6634;24,10; R$149,23 ;Quality Baruel;GASOLINA;;;
17GB;MOB-17107;EEF-7217;18/11/2025;58673;5,28; R$33,76 ;Quality shoop;GASOLINA;;;
17GB;MOB-17106;EEF-7207;18/11/2025;49542;5,38; R$34,34 ;Posto Quality;GASOLINA;;;
17GB;ABS-17105;GIC4H16;19/11/2025;76354;58,59; R$385,54 ;Auto Posto Reina o Sol;DIESEL S10;;;
17GB;ABE-04;BFG-2897;19/11/2025;109687;45,07; R$297,00 ;Equipe;DIESEL S10;;;
17GB;Tanque motor popa;Sem placa;19/11/2025;13;12,00; R$76,68 ;Equipe;GASOLINA;;;
