              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;
17GB OUT23 ;;;;;;;;;;;;
;;; ;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;
;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;
17GB;VO-17007;DJL-3120;20/10/2023;135646;32,82; R$196,59 ;AUTO POSTO FERRAZ CENTRO;GASOLINA;;;;
17GB;UR-17210;EWZ-1B95;09/10/2023;35900;49,52; R$311,48 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;06/10/2023;35624;47,09; R$296,20 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;UR-17210;EWZ-1B95;02/10/2023;35409;35,61; R$227,55 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;;
17GB;VO-17007;DJL-3120;27/10/2023;135140;44,51; R$262,16 ;AUTO POSTO FERRAZ CENTRO;GASOLINA;;;;
17GB;ABS-17103;DJM-3481;11/10/2023;135000;118,08; R$729,76 ;POSTO REINA O SOL;DIESEL S10;;;;
17GB;VO-17102;EFC-7492;04/10/2023;52703;45,47; R$162,35 ;POSTO EQUIPE QUALITY;ETANOL;;;;
17GB;VO-17102;EFC-7492;09/10/2023;52854;25,92; R$95,14 ;POSTO REINA O SOL;ETANOL;;;;
17GB;VO-17102;EFC-7492;16/10/2023;53181;43,66; R$160,27 ;POSTO REINA O SOL;ETANOL;;;;
17GB;VO-17102;EFC-7492;31/10/2023;53632;30,95; R$117,00 ;POSTO REINA O SOL;ETANOL;;;;
17GB;AB-17102;FEJ-7954;04/10/2023;129878;114,1;R$ 705,19;POSTO PORTA DO SOL;DIESEL S10;;;;
17GB;AB-17102;FEJ-7954;06/10/2023;129991;64,57;R$ 399,09;POSTO REINA O SOL;DIESEL S10;;;;
17GB;AB-17102;FEJ-7954;12/10/2023;130188;96,39;R$ 595,72;POSTO REINA O SOL;DIESEL S10;;;;
17GB;AB-17102;FEJ-7954;18/10/2023;130386;109,71;R$ 678,06;POSTO REINA O SOL;DIESEL S10;;;;
17GB;AB-17102;FEJ-7954;22/10/2023;130570;103,92;R$ 642,25;POSTO REINA O SOL;DIESEL S10;;;;
17GB;AB-17102;FEJ-7954;26/10/2023;130738;100,30;R$ 629,93;POSTO REINA O SOL;DIESEL S10;;;;
17GB;UR-17105;FKG-0E65;02/10/2023;21500;65,66;R$ 414,35;POSTO REINA O SOL;DIESEL S10;;;;
17GB;UR-17105;FKG-0E65;11/10/2023;21656;32,91;R$ 203,41;POSTO REINA O SOL;DIESEL S10;;;;
17GB;UR-17105;FKG-0E65;25/10/2023;21819;27,78;R$ 174,51;POSTO REINA O SOL;DIESEL S10;;;;
17GB;MOTOSERRA;;06/10/2023;0;13,77;R$ 82,50;POSTO REINA O SOL;GASOLINA;;;;
17GB;MOTOSERRA;;02/10/2023;0;22,04;R$ 129,62;POSTO REINA O SOL;GASOLINA;;;;
17GB;ABS-17202;BFG-9419;01/11/2023;94285;126,88;R$ 823,45;IPIRANGA FERRAZ;DIESEL;;;;
17GB;VO-17205;ECE-0I01;02/10/2023;26060;41,12;R$ 233,97;POSTO QUALITY;Gasolina;;;;
17GB;UR-17213;FYT-2A23;02/10/2023;22731;44,55;R$ 283,84;POSTO QUALITY;Disiel;;;;
17GB;ABS-17201;GGR-8E95;03/10/2023;10297;147,62;R$ 940,34;POSTO QUALITY;Disiel;;;;
17GB;VO-17206;BIF-2I64;04/10/2023;15110;53,84;R$ 342,96;POSTO QUALITY;Disiel;;;;
17GB;UR-17214;GGT-3F22;05/10/2023;6960;44,25;R$ 281,87;POSTO QUALITY;Disiel;;;;
17GB;AS-17201;EGI-1400;05/10/2023;194438;50,34;R$ 320,72;POSTO QUALITY;Diesel;;;;
17GB;ABS-17204;FCQ-0386;06/10/2023;81999;150,01;R$ 955,56;POSTO QUALITY;Diesel;;;;
17GB;UR-17214;GGT-3F22;07/10/2023;7239;44,77;R$ 285,24;POSTO QUALITY;Diesel;;;;
17GB;VO-17204;GJP-2D64;08/10/2023;7921;30,96;R$ 176,16;POSTO QUALITY;Gasolina;;;;
17GB;VO-17205;ECE-0I01;09/10/2023;26809;43,99;R$ 250,30;POSTO QUALITY;Gasolina;;;;
17GB;UR-17208;BZF-1518;11/10/2023;100015;47,95;R$ 305,44;POSTO QUALITY;Diesel;;;;
17GB;UR-17214;GGT-3F22;11/10/2023;7541;44,19;R$ 281,49;POSTO QUALITY;Diesel;;;;
17GB;MT-17201;BYZ-1454;11/10/2023;30592;13,34;R$ 75,91;POSTO QUALITY;Gasolina;;;;
17GB;MT-17202;FDB-5316;11/10/2023;5260;6,84;R$ 38,95;POSTO QUALITY;Gasolina;;;;
17GB;UR-17212;GJH-1F17;11/10/2023;45778;44,43;R$ 283,02;POSTO QUALITY;Diesel;;;;
17GB;UR-17213;FYT-2A23;11/10/2023;22882;31,85;R$ 202,94;POSTO QUALITY;Diesel;;;;
17GB;ABS-17201;GGR-8E95;12/10/2023;10845;162,41;R$ 1.034,55;POSTO QUALITY;Diesel;;;;
17GB;ABS-17204;FCQ-0386;12/10/2023;82172;145,06;R$ 924,03;POSTO QUALITY;Diesel;;;;
17GB;MOTOSERRA;;12/10/2023;;4,46;R$ 25,38;POSTO QUALITY;Gasolina;;;;
17GB;VO-17204;GJP-2D64;13/10/2023;8163;25,77;R$ 146,63;POSTO QUALITY;Gasolina;;;;
17GB;VO-17204;GJP-2D64;15/10/2023;8597;25,51;R$ 145,20;POSTO QUALITY;Gasolina;;;;
17GB;UR-17212;GJH-1F17;16/10/2023;46001;40,19;R$ 256,01;POSTO QUALITY;Diesel;;;;
17GB;UR-17214;GGT-3F22;16/10/2023;7877;49,4;R$ 314,68;POSTO QUALITY;Diesel;;;;
17GB;VO -17205;ECE-0I01;16/10/2023;27283;31,12;R$ 177,07;POSTO QUALITY;Gasolina;;;;
17GB;ABS-17201;GGR-8E95;16/10/2023;11095;147,38;R$ 938,81;POSTO QUALITY;Diesel;;;;
17GB;VO-17206;BIF-2I64;16/10/2023;15668;61,77;R$ 393,47;POSTO QUALITY;Diesel;;;;
17GB;MT-17202;FDB-5316;16/10/2023;5435;5,15;R$ 29,30;POSTO QUALITY;Gasolina;;;;
17GB;UR-17211;FQO-1D01;17/10/2023;36034;34,88;R$ 222,24;POSTO QUALITY;Diesel;;;;
17GB;MT-17202;FDB-5316;17/10/2023;5538;5,51;R$ 31,40;POSTO QUALITY;Gasolina;;;;
17GB;UR-17213;FYT-2A23;18/10/2023;23118;42;R$ 267,54;POSTO QUALITY;Diesel;;;;
17GB;UR-17212;GJH-1F17;18/10/2023;46185;32,68;R$ 208,17;POSTO QUALITY;Diesel;;;;
17GB;MT-17202;FDB-5316;18/10/2023;5816;5;R$ 28,45;POSTO QUALITY;Gasolina;;;;
17GB;ABS-17201;GGR-8E95;19/10/2023;11359;110,46;R$ 703,63;POSTO QUALITY;Diesel;;;;
17GB;MT-17202;FDB-5316;19/10/2023;6003;5,67;R$ 32,31;POSTO QUALITY;Gasolina;;;;
17GB;TP-17000;FHN-0083;20/10/2023;117432;48,65;R$ 4,00;POSTO QUALITY;Gasolina;;;;
17GB;UR-17214;GGT-3F22;20/10/2023;8080;35,34;R$ 225,12;POSTO QUALITY;Diesel;;;;
17GB;UR-17212;GJH-1F17;21/10/2023;46461;44,68;R$ 284,61;POSTO QUALITY;Diesel;;;;
17GB;ABS-17201;GGR8E95;22/10/2023;11514;97,18;R$ 619,04;POSTO QUALITY;Diesel;;;;
17GB;MT-17202;FDB5316;23/10/2023;6204;5,79;R$ 32,31;POSTO QUALITY;Gasolina;;;;
17GB;VO-17204;GJP-2D64;23/10/2023;8938;29,92;R$ 170,24;POSTO QUALITY;Gasolina;;;;
17GB;MT-17202;FDB 5316;23/10/2023;6362;5,18;R$ 29,47;POSTO QUALITY;Gasolina;;;;
17GB;UR-17214;GGT-3F22;24/10/2023;8381;45,67;R$ 290,92;POSTO QUALITY;Diesel;;;;
17GB;UR-17213;FYT-2A23;24/10/2023;23294;30,99;R$ 197,41;POSTO QUALITY;Diesel;;;;
17GB;UR-17212;GJH-1F17;24/10/2023;46738;45,8;R$ 291,80;POSTO QUALITY;Diesel;;;;
17GB;AS-17201;EGI-1400;24/10/2023;194655;55,42;R$ 353,03;POSTO QUALITY;Diesel;;;;
17GB;ABS-17201;GGR-8E95;24/10/2023;11876;145,51;R$ 926,90;POSTO QUALITY;Diesel;;;;
17GB;ABS-17204;FCQ-0386;24/10/2023;82456;227,74;R$ 1.450,76;POSTO QUALITY;Diesel;;;;
17GB;MT-17202;FDB-5316;24/10/2023;6560;6,08;R$ 34,60;POSTO QUALITY;Gasolina;;;;
17GB;ABS-17201;GGR-8E95;25/10/2023;11973;49,62;R$ 316,08;POSTO QUALITY;Diesel;;;;
17GB;AT-17205;GIU-7B96;25/10/2023;8198;162,34;R$ 1.034,10;POSTO QUALITY;Diesel;;;;
17GB;MT-17202;FDB-5316;25/10/2023;6731;5,6;R$ 31,86;POSTO QUALITY;Gasolina;;;;
17GB;UR-17208;BZF-1518;26/10/2023;100194;29,62;R$ 188,68;POSTO QUALITY;Diesel;;;;
17GB;MT-17202;FDB 5316;26/10/2023;6965;6,74;R$ 38,35;POSTO QUALITY;Gasolina;;;;
17GB;VO-17204;GJP2D64;26/10/2023;9400;33,83;R$ 192,49;POSTO QUALITY;Gasolina;;;;
17GB;VO-17205;ECE0I01;26/10/2023;27759;41,73;R$ 237,44;POSTO QUALITY;Gasolina;;;;
17GB;UR-17212;GJH1F17;27/10/2023;47003;43,85;R$ 279,32;POSTO QUALITY;Diesel;;;;
17GB;ABS-17201;GGR8E95;29/10/2023;12162;105;R$ 668,85;POSTO QUALITY;Diesel;;;;
17GB;AT-17205;GIU7B96;29/10/2023;8330;90,63;R$ 577,31;POSTO QUALITY;Diesel;;;;
17GB;VO-17205;ECE0I01;30/10/2023;28005;18,22;R$ 103,72;POSTO QUALITY;Gasolina;;;;
17GB;UR-17212;GJH1F17;30/10/2023;47263;46,77;R$ 297,93;POSTO QUALITY;Diesel;;;;
17GB;VO-17104;EXE -2C24;30/10/2023;29411;14,96;R$ 85,12;POSTO QUALITY;Gasolina;;;;
17GB;TP-17000;FHN-0083;30/10/2023;171729;26,83;R$ 152,66;POSTO QUALITY;Gasolina;;;;
17GB;UR-17214;GGT3F22;31/10/2023;8755;55,63;R$ 354,36;POSTO QUALITY;Diesel;;;;
17GB;ABS-17201;GGR8E95;31/10/2023;12392;113,71;R$ 724,33;POSTO QUALITY;Diesel;;;;
17GB;VO-17206;BIF2I64;31/10/2023;16253;67,67;R$ 431,06;POSTO QUALITY;Diesel;;;;
17GB;ABS-17202;DJP-9419;07/11/2023;94529;154,93;R$ 1.005,50;AUTO POSTO FERRAZ CENTRO;Diesel;;;;
