              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;;;
17GB OUT24 ;;;;;;;;;;;;;;
;;; ;;;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;;;
17GB;ABS-17201;GGR8-E95;08/10/2024;32919;105,24; R$683,01 ;IPIRANGA FERRAZ;S-10;;;;;;
17GB;UR-17210;EWZ1-B95;09/10/2024;45252;42,35; R$274,85 ;IPIRANGA FERRAZ;S-10;;;;;;
17GB;UR-17210;EWZ1-B95;05/10/2024;45036;34,63; R$224,75 ;IPIRANGA FERRAZ;S-10;;;;;;
17GB;ABS-17202;DJP-9419;11/10/2024;101791;179,56; R$1.165,34 ;IPIRANGA FERRAZ;S-10;;;;;;
17GB;UR-17210;EWZ1-B95;12/10/2024;45427;31,00; R$201,19 ;IPIRANGA FERRAZ;S-10;;;;;;
17GB;ABS-17201;GGR8-E95;12/10/2024;33089;106,90; R$693,78 ;IPIRANGA FERRAZ;S-10;;;;;;
17GB;ABS-17201;GGR8-E95;26/10/2024;33437;94,69; R$614,54 ;IPIRANGA FERRAZ;S-10;;;;;;
17GB;UR-17210;EWZ1-B95;28/10/2024;45599;39,86; R4 258,69 ;IPIRANGA FERRAZ;S-10;;;;;;
17GB;MOTOSERRA;XXX-0016;02/10/2024;;2,71; R$17,05 ;IPIRANGA FERRAZ;GASOLINA;;;;;;
17GB;ABS-17201;GGR8-E95;02/10/2024;32740;113,00; R$733,37 ;IPIRANGA FERRAZ;S-10;;;;;;
17GB;ABS-17201;GGR8-E95;19/10/2024;33268;103,02; R$668,60 ;IPIRANGA FERRAZ;S-10;;;;;;
17GB;ABS-17205;GIC-3F68;03/10/2024;54774;147,84; R$900,35 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;ABS-17205;GIC-3F68;11/10/2024;55222;148,67; R$905,40 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;ABS-17205;GIC-3F68;18/10/2024;55499;166,79; R$1.015,75 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;ABS-17205;GIC-3F68;22/10/2024;55642;65,21; R$397,13 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;ABS-17205;GIC-3F68;24/10/2024;55764;71,69; R$436,59 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;ABS-17205;GIC-3F68;28/10/2024;55939;109,61; R$667,52 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17211;FQO-1D01;07/10/2024;57880;31,27; R$190,43 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17211;FQO-1D01;11/10/2024;58162;46,02; R$280,26 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17212;GJH-1F17;04/10/2024;60614;36,45; R$221,98 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17212;GJH-1F17;14/10/2024;60821;39,93; R$224,90 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17211;FQO-1D01;23/10/2024;58463;44,28; R$269,67 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17211;FQO-1D01;28/10/2024;58691;37,14; R$226,18 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17211;FQO-1D01;30/10/2024;58922;33,01; R$200,97 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;UR-17212;GJH-1F17;19/10/2024;60991;31,51; R$191,90 ;AUTO POSTO IPIRANGA JD ODETE;diesel S10;;;;;;
17GB;VO-17105;EFC-7492;14/10/2024;62230;25,86; R$104,97 ;POSTO REINA O SOL;ALCOOL;;;;;;
17GB;VO-17105;EFC-7492;15/10/2024;62472;33,39; R$135,55 ;POSTO REINA O SOL;ALCOOL;;;;;;
17GB;VO-17105;EFC-7492;22/10/2024;62681;31,90; R$129,53 ;POSTO REINA O SOL;ALCOOL;;;;;;
17GB;ABS-17105;GIC-4H16;01/10/2024;60964;85,34; R$518,89 ;POSTO REINA O SOL;diesel S10;;;;;;
17GB;ABS-17105;GIC-4H16;02/10/2024;61090;52,14; R$317,00 ;POSTO REINA O SOL;diesel S10;;;;;;
17GB;ABS-17105;GIC-4H16;06/10/2024;61344;107,14; R$651,43 ;POSTO REINA O SOL;diesel S10;;;;;;
17GB;ABS-17105;GIC-4H16;11/10/2024;61468;64,67; R$393,18 ;POSTO REINA O SOL;diesel S10;;;;;;
17GB;ABS-17105;GIC-4H16;14/10/2024;61635;76,28; R$463,81 ;POSTO REINA O SOL;diesel S10;;;;;;
17GB;ABS-17105;GIC-4H16;19/10/2024;61871;116,00; R$705,28 ;POSTO REINA O SOL;diesel S10;;;;;;
17GB;ABS-17105;GIC-4H16;26/10/2024;62115;102,02; R$620,26 ;POSTO REINA O SOL;diesel S10;;;;;;
17GB;ABS-17105;GIC-4H16;31/10/2024;62312;99,48; R$604,83 ;POSTO REINA O SOL;diesel S10;;;;;;
17GB;MOTOSERRA;MOT-0001;15/10/2024;73;20,00; R$121,60 ;POSTO REINA O SOL;GASOLINA;;;;;;
17GB;AT-17205;GIU-7B96;01/10/2024;12495;104,36; R$664,77 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;ABS-17203;SWV-0118;02/10/2024;10434;175,47; R$664,77 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;UR-17214;GGT-3F22;02/10/2024;32696;39,00; R$248,43 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;UR-17213;FYT-2A23;04/10/2024;40419;36,90; R$235,05 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;VO-17206;BIF-2I64;04/10/2024;24963;51,92; R$330,73 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;AT-17205;GIU-7B96;05/10/2024;12625;91,95; R$585,72 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;ABS-17204;FCQ-0386;05/10/2024;87533;172,92; R$1.101,50 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;UR-17211;FQO-1D01;05/10/2024;57678;30,93; R$197,03 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;TP-17205;DJL-9240;06/10/2024;212935;21,54; R$129,07 ;POSTO QUALITY CASA BRANCA;Gasolina;;;;;;
17GB;UR-17214;GGT-3F22;06/10/2024;33006;46,89; R$298,69 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;MOB-17206;GCC-9F64;07/10/2024;9613;10,10; R$60,50 ;POSTO QUALITY CASA BRANCA;Gasolina;;;;;;
17GB;MOB-17207;FSP-3D32;07/10/2024;9610;8,48; R$50,79 ;POSTO QUALITY CASA BRANCA;Gasolina;;;;;;
17GB;VO-17205;ECE-0I01;07/10/2024;38611;27,95; R$167,42 ;POSTO QUALITY CASA BRANCA;Gasolina;;;;;;
17GB;ABS-17203;SWV-0118;08/10/2024;10703;145,96; R$929,76 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;ABS-17205;GIC-3F68;08/10/2024;54992;115,25; R$734,14 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;VO-17205;ECE-0I01;08/10/2024;38777;14,51; R$86,96 ;POSTO QUALITY CASA BRANCA;Gasolina;;;;;;
17GB;VO-17204;GJP-2D64;08/10/2024;20943;40,34; R$241,64 ;POSTO QUALITY CASA BRANCA;Gasolina;;;;;;
17GB;TP-17205;DJL-9240;08/10/2024;213271;24,67; R$147,77 ;POSTO QUALITY CASA BRANCA;Gasolina;;;;;;
17GB;UR-17214;GGT-3F22;12/10/2024;33305;44,00; R$280,28 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;MOTOSERRA;;12/10/2024;;6,28; R$35,78 ;POSTO QUALITY CASA BRANCA;Gasolina;;;;;;
17GB;ABS-17203;SWV-0118;15/10/2024;11021;157,30; R$973,69 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;TP-17205;DJL-9240;15/10/2024;213763;38,35; R$229,72 ;POSTO QUALITY CASA BRANCA;Gasolina;;;;;;
17GB;VO-17206;BIF-2I64;15/10/2024;25252;49,63; R$307,21 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;UR-17208;BZF-1518;16/10/2024;111412;45,30; R$260,41 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;UR-17213;FYT-2A23;16/10/2024;40867;67,98; R$420,79 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;VO-17204;GJP-2D64;16/10/2024;21306;33,53; R$200,84 ;POSTO QUALITY CASA BRANCA;Gasolina;;;;;;
17GB;UR-17214;GGT-3F22;17/10/2024;33527;42,05; R$260,29 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;VO-17205;ECE-0I01;17/10/2024;38961;40,98; R$212,73 ;POSTO QUALITY CASA BRANCA;Gasolina;;;;;;
17GB;UR-17212;GJH-1F17;17/10/2024;61019;30,84; R$190,90 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;AS-17201;EGI-1400;18/10/2024;196095;103,13; R$638,37 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;VO-17007;DJL 3120;18/10/2024;142394;46,69; R$279,54 ;POSTO QUALITY CASA BRANCA;Gasolina;;;;;;
17GB;ABS-17203;SWV-0118;19/10/2024;11328;92,31; R$571,45 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;UR-17213;FYT-2A23;19/10/2024;41046;33,04; R$204,51 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;UR-17214;GGT-3F22;21/10/2024;33724;31,80; R$196,84 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;UR-17213;FYT-2A23;22/10/2024;41288;43,88; R$271,61 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;ABS-17203;SWV-0118;23/10/2024;11558;165,94; R$1.027,16 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
17GB;MOB-17206;GCC-9F64;23/10/2024;9873;7,50; R$44,92 ;POSTO QUALITY CASA BRANCA;Gasolia;;;;;;
17GB;MOB-17207;FSP-3D32;23/10/2024;9868;7,60; R$45,52 ;POSTO QUALITY CASA BRANCA;Gasolia;;;;;;
17GB;UR-17214;GGT-3F22;23/10/2024;33891;32,22; R$199,49 ;POSTO QUALITY CASA BRANCA;Diesel-S10;;;;;;
