              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;
17GB SET25;;;;;;;;;;;
;;; ;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;
;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;
17GB;ABS-17205;GIC3F68;01/10/2025;70082;190,80; R$1.180,05 ;Ipiranga;DIESEL S10;;;
17GB;ABS-17103;SWV0I18;01/10/2025;30145;91,63; R$576,35 ;Quality;DIESEL;;;
17GB;EP-17201;TIX7A89;01/10/2025;5980;22,95; R$142,06 ;Quality;GASOLINA;;;
17GB;VO-17001;FFY5I31;01/10/2025;23182;23,11; R$99,14 ;Equipe Quality;ALCOOL;;;
17GB;TP-17000;TIZ0D86;10/01/2025;3048;28,99; R$124,37 ;Quality;ALCOOL;;;
17GB;ABS-17103;DJM3E81;01/10/2025;151959;160,44; R$1.051,29 ;Posto Equipe Quality;DIESEL S10;;;
17GB;UR-17105;FKG0E65;02/10/2025;49520;35,42; R$233,43 ;Quality;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;02/10/2025;3162;10,34; R$43,32 ;itamarathy;ALCOOL;;;
17GB;VO-17001;FFY5I31;02/10/2025;23341;25,98; R$111,98 ;posto equipe quality;ALCOOL;;;
17GB;TP-17000;TIZ0D86;02/10/2025;3295;12,86; R$53,88 ;posto itamarathy;ALCOOL;;;
17GB;VO-17001;FFY5I31;03/10/2025;23499;25,53; R$109,52 ;Equipe quality;ALCOOL;;;
17GB;UR-17212;GJH1F17;03/10/2025;78765;36,12; R$223,58 ;Ipiranga;DIESEL S10;;;
17GB;EP-17101;TZL5A72;02/10/2025;2820;14,74; R$59,99 ;Itamaraty II;ALCOOL;;;
17GB;ABS-17103;DIW1J93;03/10/2025;132978;49,14; R$205,90 ;Itamarathy;ALCOOL;;;
17GB;MOB-17107;EEF-7217;03/10/2025;56997;5,98; R$38,24 ;Quality posto shopp;GASOLINA;;;
17GB;MOB-17108;EEF-7208;03/10/2025;58420;4,49; R$28,69 ;Posto Quality;GASOLINA;;;
17GB;ABS-17105;GIC4H16;03/10/2025;74577;102,68; R$675,65 ;Posto Reina o Sol;DIESEL S10;;;
17GB;UR-17213;FYT2A23;03/10/2025;55193;30,01; R$197,77 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;
17GB;AC-17001;GHU6J06;03/10/2025;68376;48,24; R$308,25 ;POSTO EQUIPE QUALITY LTDA;DIESEL S10;;;
17GB;UR-17102;FYC1A73;03/10/2025;41114;40,04; R$263,91 ;EQUIPE QUALITY MANOEL B. LIMA FILHO;DIESEL S10;;;
17GB;AC-17001;GHU6J06;03/10/2025;68377;48,25; R$295,25 ;Posto Equipe Qualiti -Shell;DIESEL S10;;;
17GB;UR-17105;FKG0E65;05/10/2025;49728;25,28; R$166,60 ;Posto equipe quality;DIESEL S10;;;
17GB;UR-17212;GJH1F17;05/10/2025;79021;36,67; R$220,80 ;Ipiranga;DIESEL S10;;;
17GB;UR-17214;GGT3F22;03/10/2025;53744;45,59; R$286,76 ;Quality;DIESEL S10;;;
17GB;UR-17208;BZF-1518;04/10/2025;218,51;34,74; R$218,51 ;Quality;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;06/10/2025;3672;9,88; R$42,38 ;posto equipe quality;ALCOOL;;;
17GB;TP-17000;TIZ0D86;06/10/2025;3672;9,88; R$42,38 ;posto equipe quality;ALCOOL;;;
17GB;UR-17213;FYT2A23;06/10/2025;55429;43,75; R$288,31 ;AUTO POSTO FERRAZ CENTRO;DIESEL S10;;;
17GB;MOB-17107;EEF-7217;06/10/2025;57118;5,03; R$30,03 ;Titans;GASOLINA;;;
17GB;MOB-17108;EEF-7208;06/10/2025;58542;4,19; R$25,01 ;Auto Posto Titans LTDA;GASOLINA;;;
17GB;TP-17000;TIZ0D86;06/10/2025;3783;12,58; R$52,71 ;posto itamarathy;ALCOOL;;;
17GB;UR-17102;FYC1A73;06/10/2025;41394;38,11; R$251,17 ;EQUIP QUALITY MANOEL B. LIMA FILHO;DIESEL S10;;;
17GB;ABS-17106;GDH3H25;06/10/2025;53378;143,68; R$903,80 ;MASTER MOGI;DIESEL S10;;;
17GB;AC-17001;GHU6J06;06/10/2025;68599;42,20; R$278,70 ;Equipe Qualiti;DIESEL S10;;;
17GB;ABS-17205;GIC3F68;06/10/2025;70313;115,99; R$717,98 ;Ipiranga;DIESEL S10;;;
17GB;EP-17101;TZL5A72;07/10/2025;2990;22,63; R$97,12 ;Master Mogi;ALCOOL;;;
17GB;ABS-17105;GIC4H16;08/10/2025;74757;77,00; R$506,70 ;Auto Posto Reina o Sol;DIESEL S10;;;
17GB;MOB-17108;EEF-7208;08/10/2025;58668;4,64; R$29,67 ;Posto Equipe Quality;GASOLINA;;;
17GB;MOB-17107;EEF-7217;08/10/2025;57244;4,65; R$29,77 ;Quality;GASOLINA;;;
17GB;TP-17001;SWH6I87;08/10/2025;46151;25,50; R$111,98 ;QUALITY;ALCOOL;;;
17GB;UR-17105;FKG0E65;08/10/2025;49881;39,19; R$258,29 ;Posto Quality;DIESEL S10;;;
17GB;VO-17004;EXM2C24;08/10/2025;73096;38,90; R$170,77 ;equipe quality;ALCOOL;;;
17GB;ABS-17201;GGR8E95;08/10/2025;44464;186,65; 1,230,02 ;Ipiranga centro;DIESEL S10;;;
17GB;AC-17002;GIL8E75;09/10/2025;177621;56,90; R$374,97 ;Quality;DIESEL S10;;;
17GB;1;Cbm0001;09/10/2025;12;10,10; R$64,59 ;Quality;GASOLINA;;;
17GB;VO-17102;EFC-7492;09/10/2025;69209;39,19; R$167,75 ;REINA O SOL;ALCOOL;;;
17GB;ABS-17106;GDH3H25;09/10/2025;53537;76,07; R$478,54 ;MASTER MOGI;DIESEL S10;;;
17GB;EQUIPAMENTOS;BRÁS CUBAS;09/10/2025;7;11, 10; R$69,82 ;MASTER MOGI;GASOLINA;;;
17GB;UR-17102;FYC1A73;09/10/2025;41628;35,59; R$234,53 ;EQUIPE QULITY MANOEL B LIMA FILHO;DIESEL S10;;;
17GB;ABS-17205;GIC3F68;09/10/2025;70575;131,70; R$815,22 ;Ipiranga;DIESEL S10;;;
17GB;UR-17213;FYT2A23;10/10/2025;55590;32,74; R$215,76 ;IPIRANGA FERRAZ;DIESEL S10;;;
17GB;TP-17000;TIX7A89;10/10/2025;4362;15,09; R$63,24 ;posto itamarathy;ALCOOL;;;
17GB;TP-17001;SWH6I87;10/10/2025;46315;20,32; R$85,14 ;posto itamarathy;ALCOOL;;;
17GB;TP-17001;SWH6I87;10/10/2025;46315;20,32; R$85,14 ;posto itamarathy;ALCOOL;;;
17GB;ABS-17102;EEF7D31;10/10/2025;177044;75,15; R$502,76 ;POSTO SHOPPING MOGI;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;10/10/2025;4476;10,56; R$44,20 ;posto itamathy;ALCOOL;;;
17GB;AC-17002;GIL8E75;11/10/2025;177803;31,48; R$207,49 ;Equipe quality;DIESEL S10;;;
17GB;UR-17105;FKG0E65;11/10/2025;50128;38,91; R$256,45 ;Posto equipe quality ltda;DIESEL S10;;;
17GB;ABS-17203;SWV0I18;11/10/2025;30663;105,08; R$665,48 ;Quality Baruel;DIESEL S10;;;
17GB;ABS-17103;DJM3E81;12/10/2025;152324;131,14; R$864,21 ;Posto equipe quality ltda;DIESEL S10;;;
17GB;UR-17102;FYC1A73;12/10/2025;41967;44,98; R$296,46 ;EQUIPE QUALITY MANOEL B. LIMA FILHO;DIESEL S10;;;
17GB;VO-17003;TKX5J89;13/10/2025;5085;29,20; R$192,44 ;Equipe Quality Ltda;DIESEL;;;
17GB;TP-17000;TIZ0D86;03/10/2025;3558;26,41; R$110,67 ;ITAMARATI;ALCOOL;;;
17GB;TP-17000;TIZ0D86;07/10/2025;4017;23,97; R$97,61 ;ITAMARATI;ALCOOL;;;
17GB;TP-17000;TIZ0D86;09/10/2025;4243;22,61; R$94,75 ;ITAMARATI;ALCOOL;;;
17GB;EP-17201;TIX7A89;10/10/2025;6197;20,22; R$125,15 ;Quality Baruel;GASOLINA;;;
17GB;MOB-17108;EEF-7208;13/10/2025;58836;5,65; R$36,10 ;Posto Quality;GASOLINA;;;
17GB;MOB-17107;EEF-7217;13/10/2025;57410;6,30; R$40,28 ;Posto Quality;GASOLINA;;;
17GB;TP-17000;TIZ0D86;13/10/2025;4743;26,86; R$112,54 ;ITAMARATI;ALCOOL;;;
17GB;EP-17101;TLZ5A72;14/10/2025;3106;18,28; R$78,43 ;Master;ALCOOL;;;
17GB;VO-17004;EXM2C24;14/10/2025;73378;32,15; R$141,15 ;POSTO EQUIPE QUALITY;ALCOOL;;;
17GB;ABS-17105;GIC4H16;14/10/2025;74961;83,71; R$550,80 ;Reina o Sol;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;14/10/2025;4856;13,96; R$58,49 ;itamarathy;ALCOOL;;;
17GB;TP-17001;SWH6I87;14/10/2025;46473;18,60; R$77,93 ;itamarathy;ALCOOL;;;
17GB;MOB-17108;EEF-7208;14/10/2025;58949;4,31; R$27,53 ;Posto equipe quality LTDA;GASOLINA;;;
17GB;MOB-17107;EEF-7217;14/10/2025;57521;4,84; R$30,95 ;Quality;GASOLINA;;;
17GB;TP-17000;TIZ0D86;14/10/2025;4970;7,27; R$30,46 ;itamarathy;ALCOOL;;;
17GB;TP-17000;TIZ0D86;15/10/2025;46632;22,09; R$92,54 ;ITAMARATI;ALCOOL;;;
17GB;VO-17100;GAW5G93;15/10/2025;31008;39,74; R$170,51 ;Automobile;ALCOOL;;;
17GB;ABS-17106;GDH3H25;15/10/2025;53785;120,11; R$755,55 ;MASTER MOGI ( FRANCISCO FERREIRA LOPES);DIESEL S10;;;
17GB;ABS-17205;GIC3F68;15/10/2025;70873;161,04; R$996,84 ;Auto posto tornado;DIESEL S10;;;
17GB;TP-17001;SWH6I87;16/10/2025;46792;15,80; R$69,36 ;Posto equipe Quality;ALCOOL;;;
17GB;VO-17001;FFY5I31;16/10/2025;24408;42,73; R$179,04 ;ITAMARATHY;ALCOOL;;;
17GB;ABE-04;BFG-2897;16/10/2025;109626;131,78; R$868,47 ;Posto Equipe Quality;DIESEL S10;;;
17GB;AC-17001;GHU6J06;16/10/2025;68747;32,10; R$211,59 ;Posto Equipe Quality Ltda;DIESEL S10;;;
17GB;UR-17102;FYC1A73;16/10/2025;42184;30,34; R$181,13 ;Titans;DIESEL S10;;;
17GB;UR-17105;FKG0E65;16/10/2025;50398;46,42; R$305,96 ;Prime;DIESEL S10;;;
17GB;VO-17100;GAW5G93;16/10/2025;31233;23,58; R$98,80 ;ITAMARATHY;ALCOOL;;;
17GB;TP-17001;SWH6I87;16/10/2025;46937;16,78; R$73,66 ;Posto Equipe Quality;ALCOOL;;;
17GB;MOB-17108;EEF-7208;16/10/2025;59049;3,68; R$23,54 ;Posto Quality;GASOLINA;;;
