              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;
17GB SET22 ;;;;;;;;;;;;
;;; ;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;
;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;
17GB;ASE-17101;BFG-1779;05/09/2022;151360;100,13; R$ 699,90 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ASE-17101;BFG-1779;16/09/2022;151537;105,70; R$ 738,89 ;POSTO SHOPPING;DIESEL S-10;;;;
17GB;ABE-17101;BFG-2890;04/09/2022;111518;92,96; R$ 649,81 ;POSTO SHOPPING;DIESEL S-10;;;;
17GB;ABE-17101;BFG-2890;05/09/2022;111543;27,13; R$ 189,65 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABE-17101;BFG-2890;10/09/2022;111609;86,98; R$ 608,01 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABE-17101;BFG-2890;17/09/2022;111675;111,60; R$ 780,07 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABE-17101;BFG-2890;22/09/2022;111728;59,14; R$ 401,58 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;ABE-17101;BFG-2890;28/09/2022;111830;123,36; R$ 850,00 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;
17GB;ABE-17101;BFG-2890;29/09/2022;111867;34,16; R$ 235,42 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;
17GB;ABE-17101;BFG-2890;29/09/2022;111901;79,95; R$ 542,89 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;BOM - 0001;BOM-0001;01/09/2022;102;4,56; R$ 24,12 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;BOM-05;BOM-0002;12/09/2022;143860;5,41; R$ 25,91 ;POSTO;GASOLINA COMUM;;;;
17GB;BOM-05;BOM-0002;27/09/2022;143961;10,79; R$ 51,68 ;POSTO;GASOLINA COMUM;;;;
17GB;ABS-17101;BSV-3278;06/09/2022;225603;51,25; R$ 358,24 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;MT-17004;BYZ-1445;11/09/2022;63956;9,05; R$ 45,17 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;UT-17001;CMW-7367;08/09/2022;93283;34,84; R$ 121,59 ;POSTO;ETANOL COMUM;;;;
17GB;UT-17001;CMW-7367;14/09/2022;93439;22,50; R$ 71,78 ;POSTO;ETANOL COMUM;;;;
17GB;UT-17001;CMW-7367;16/09/2022;93613;25,79; R$82,28 ;POSTO;ETANOL COMUM;;;;
17GB;UT-17001;CMW-7367;26/09/2022;93711;29,86; R$98,24 ;POSTO;ETANOL COMUM;;;;
17GB;UT-17001;CMW-7367;30/09/2022;93967;26,48; R$87,12 ;POSTO;ETANOL COMUM;;;;
17GB;VO-17003;DBS-3678;04/09/2022;250595;47,83; R$166,93 ;POSTO;ETANOL COMUM;;;;
17GB;VO-17003;DBS-3678;13/09/2022;250825;46,24; R$ 147,51 ;POSTO;ETANOL COMUM;;;;
17GB;VO-17003;DBS-3678;21/09/2022;250976;31,31; R$103,01 ;AUTO POSTO JOAO XXIII - II;ETANOL COMUM;;;;
17GB;VO-17003;DBS-3678;26/09/2022;251223;39,25; R$129,19 ;AUTO POSTO JOAO XXIII - II;ETANOL COMUM;;;;
17GB;VO-17003;DBS-3678;27/09/2022;251455;42,66; R$140,35 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;VO-17003;DBS-3678;30/09/2022;251712;46,75; R$153,82 ;AUTO POSTO JOAO XXIII - II;ETANOL COMUM;;;;
17GB;TP-17001;DBS-3679;29/09/2022;281328;12,79; R$42,08 ;AUTO POSTO JOAO XXIII - II;ETANOL COMUM;;;;
17GB;AS-17101;DBS-3888;01/09/2022;277375;52,83; R$369,28 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AS-17101;DBS-3888;03/09/2022;277408;13,59; R$94,99 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AS-17101;DBS-3888;16/09/2022;277670;80,58; R$563,26 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AS-17101;DBS-3888;22/09/2022;277939;82,11; R$557,58 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AS-17101;DBS-3888;29/09/2022;278179;75,98; R$515,93 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;VO-17103;DIW-1J93;02/09/2022;33675;46,79; R$163,31 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;
17GB;VO-17103;DIW-1J93;06/09/2022;33930;33,00; R$115,20 ;AUTO POSTO JOAO XXIII - II;ETANOL COMUM;;;;
17GB;VO-17103;DIW-1J93;12/09/2022;34338;44,06; R$153,79 ;AUTO POSTO JOAO XXIII - II;ETANOL COMUM;;;;
17GB;VO-17103;DIW-1J93;16/09/2022;34688;36,37; R$119,66 ;AUTO POSTO JOAO XXIII - II;ETANOL COMUM;;;;
17GB;VO-17103;DIW-1J93;21/09/2022;35038;36,61; R$120,47 ;AUTO POSTO JOAO XXIII - II;ETANOL COMUM;;;;
17GB;VO-17103;DIW-1J93;26/09/2022;35338;31,74; R$101,26 ;AUTO POSTO JOAO XXIII - II;ETANOL COMUM;;;;
17GB;VO-17103;DIW-1J93;29/09/2022;35608;31,33; R$103,08 ;AUTO POSTO JOAO XXIII - II;ETANOL COMUM;;;;
17GB;CM-17102;DJM-3302;01/09/2022;38782;276,83; R$1.935,06 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;CM-17102;DJM-3302;26/09/2022;39167;289,69; R$1.967,04 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AT-17103;DJM-3481;05/09/2022;129400;112,25; R$784,69 ;AUTO POSTO MOGI DAS CRUZES LTD;DIESEL S-10;;;;
17GB;AT-17103;DJM-3481;12/09/2022;129628;101,72; R$711,00 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;AT-17103;DJM-3481;20/09/2022;129862;101,81; R$701,49 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;
17GB;AT-17103;DJM-3481;28/09/2022;130200;140,52; R$954,13 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;MO-17001;DJM-4557;21/09/2022;149241;37,27; R$253,11 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;MO-17001;DJM-4557;29/09/2022;149513;26,52; R$180,05 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;UT-17002;DJP-2635;06/09/2022;215463;41,18; R$283,76 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;
17GB;UT-17002;DJP-2635;13/09/2022;215785;32,22; R$222,03 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;
17GB;VO-17008;DJP-2740;13/09/2022;203792;33,24; R$229,02 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;
17GB;ABS-17102;EEF-7331;12/09/2022;151287;94,53; R$660,77 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;
17GB;VO-17104;EXM-2C24;21/09/2022;11806;21,75; R$71,57 ;AUTO POSTO JOAO XXIII - II;ETANOL COMUM;;;;
17GB;VO-17104;EXM-2C24;21/09/2022;12060;26,40; R$86,87 ;AUTO POSTO JOAO XXIII - II;ETANOL COMUM;;;;
17GB;VO-17104;EXM-2C24;27/09/2022;12420;40,37; R$128,80 ;AUTO POSTO JOAO XXIII - II;ETANOL COMUM;;;;
17GB;MOB-17101;FHI-7907;02/09/2022;62035;8,19; R$40,05 ;POSTO;GASOLINA COMUM;;;;
17GB;MOB-17101;FHI-7907;06/09/2022;62160;10,32; R$51,50 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;TP-17000;FHN-0083;26/09/2022;144461;34,28; R$112,78 ;AUTO POSTO JOAO XXIII - II;ETANOL COMUM;;;;
17GB;TP-17000;FHN-0083;28/09/2022;144651;28,91; R$92,24 ;AUTO POSTO JOAO XXIII - II;ETANOL COMUM;;;;
17GB;MT-17001;FVJ-2863;12/09/2022;21591;6,25; R$31,20 ;AUTO POSTO JOAO XXIII - II;GASOLINA COMUM;;;;
17GB;MT-17001;FVJ-2863;14/09/2022;21828;5,43; R$25,49 ;AUTO POSTO JOAO XXIII - II;GASOLINA COMUM;;;;
17GB;MT-17001;FVJ-2863;16/09/2022;22063;5,03; R$23,62 ;AUTO POSTO JOAO XXIII - II;GASOLINA COMUM;;;;
17GB;MT-17001;FVJ-2863;21/09/2022;22340;6,50; R$30,49 ;AUTO POSTO JOAO XXIII - II;GASOLINA COMUM;;;;
17GB;MT-17001;FVJ-2863;23/09/2022;22572;5,56; R$26,11 ;AUTO POSTO JOAO XXIII - II;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;12/09/2022;53559;12,80; R$63,88 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;14/09/2022;53627;5,50; R$27,48 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;18/09/2022;53762;10,61; R$50,82 ;POSTO;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;20/09/2022;53823;5,01; R$25,01 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;23/09/2022;53877;5,16; R$25,79 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17104;FZF-6232;30/09/2022;53939;8,04; R$40,12 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;02/09/2022;44584;5,97; R$29,19 ;POSTO;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;06/09/2022;44708;8,19; R$40,87 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;12/09/2022;44810;7,12; R$35,52 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;14/09/2022;44877;5,01; R$25,02 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;18/09/2022;45010;9,13; R$43,73 ;POSTO;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;20/09/2022;45070;3,60; R$17,99 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;23/09/2022;45124;4,54; R$22,68 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
17GB;MOB-17105;FZQ-6077;30/09/2022;45185;5,26; R$26,25 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;
