              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;;;;
17GB SET24 ;;;;;;;;;;;;;;
;;; ;;;;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;;;;
17GB; UR-17102;FYC-1A73;02/09/2024;17287;47,62; R$304,33 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;02/09/2024;39066;108,86; R$673,84 ;POSTO;DIESEL S-10;;;;;;
17GB;MOB-17104;FZF-6232;02/09/2024;66883;12,24; R$76,75 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17102;FDF-9996;02/09/2024;77357;13,08; R$82,04 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;ASE-17101;BFG-1779;02/09/2024;162589;77,00; R$492,06 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;TP-17004;GAX8077;03/09/2024;273486;42,85; R$171,00 ;POSTO MOGI DAS CRUZES;ETANOL COMUM;;;;;;
17GB;VO-17103;DIW-1J93;03/09/2024;113629;21,27; R$87,00 ;PETROCIN;ETANOL COMUM;;;;;;
17GB;MOB-17102;FDF-9996;03/09/2024;77445;5,92; R$37,12 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;03/09/2024;66974;5,90; R$37,01 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;VO-17004;EXM2C24;03/09/2024;60241;36,68; R$139,02 ;POSTO;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH6I87;04/09/2024;9550;19,20; R$84,29 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;ABS-17102;EEF-7331;04/09/2024;168610;65,58; R$419,04 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17002;GIL-8475;04/09/2024;167392;64,54; R$412,43 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;TP-17000;SVX6D77;05/09/2024;11515;19,76; R$86,75 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;AC-17002;GIL-8475;05/09/2024;167546;24,91; R$159,16 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;VO-17100;GAW-5G93;05/09/2024;22135;24,47; R$107,45 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;UR-17105;FKG0E65;05/09/2024;34778;26,08; R$166,66 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;05/09/2024;39281;105,03; R$671,17 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB; UR-17102;FYC-1A73;06/09/2024;17557;34,61; R$214,24 ;POSTO;DIESEL S-10;;;;;;
17GB;CA-17001;BVZ-7844;06/09/2024;253935;35,62; R$218,71 ;AUTO POSTO JOAO XXIII - II;DIESEL S-10;;;;;;
17GB;VO-17103;DIW-1J93;06/09/2024;113823;22,70; R$92,87 ;PETROCIN;ETANOL COMUM;;;;;;
17GB;VO-17004;EXM2C24;06/09/2024;60370;17,88; R$71,37 ;AUTO POSTO JOAO XXIII - II;ETANOL COMUM;;;;;;
17GB;MOB-17104;FZF-6232;06/09/2024;67230;14,62; R$91,69 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17102;FDF-9996;06/09/2024;77694;14,52; R$91,04 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;AC-17001;GHU-6J06;06/09/2024;49358;38,32; R$244,86 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;TP-17001;SWH6I87;06/09/2024;9738;21,50; R$94,41 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;ABS-17103;DJM-3481;07/09/2024;145166;161,38; R$1.031,23 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;08/09/2024;49585;37,32; R$238,46 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;MOB-17104;FZF-6232;08/09/2024;67321;4,56; R$28,64 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17102;FDF-9996;08/09/2024;77782;4,50; R$28,26 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;ABS-17106;GDH-3H25;08/09/2024;39444;69,66; R$445,13 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB; UR-17102;FYC-1A73;08/09/2024;17821;37,18; R$237,60 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;TP-17001;SWH6I87;09/09/2024;9898;19,28; R$84,65 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17003;FHN0083;09/09/2024;178406;24,75; R$108,66 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;VO-17103;DIW-1J93;09/09/2024;114068;28,82; R$126,52 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;AT-17101;STA-3H63;09/09/2024;6750;148,42; R$948,41 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;TP-17001;SWH6I87;10/09/2024;10055;17,01; R$74,69 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;ABS-17103;DJM-3481;10/09/2024;145397;100,02; R$639,11 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;VO-17103;DIW-1J93;10/09/2024;114229;15,02; R$65,94 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;MOB-17102;FDF-9996;10/09/2024;77858;4,44; R$27,86 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;10/09/2024;67398;4,67; R$29,28 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;TP-17101;DBS3679;11/09/2024;305369;28,87; R$109,42 ;POSTO;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH6I87;11/09/2024;10213;18,77; R$82,42 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;UR-17105;FKG0E65;11/09/2024;34939;28,97; R$185,10 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;11/09/2024;49796;38,52; R$246,13 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17106;GDH-3H25;11/09/2024;39692;103,01; R$637,63 ;POSTO;DIESEL S-10;;;;;;
17GB;VO-17004;EXM2C24;12/09/2024;60664;32,33; R$141,93 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH6I87;12/09/2024;10371;20,43; R$89,67 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;ABS-17103;DJM-3481;12/09/2024;145589;113,77; R$727,00 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;VO-17103;DIW-1J93;13/09/2024;114470;32,66; R$143,40 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;TP-17001;SWH6I87;13/09/2024;10495;13,07; R$57,37 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;AT-17101;STA-3H63;13/09/2024;6921;112,57; R$719,36 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;TP-17004;GAX8077;13/09/2024;273633;23,34; R$102,48 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;VO-17100;GAW-5G93;13/09/2024;22361;26,33; R$107,72 ;PETROCIN;ETANOL COMUM;;;;;;
17GB;VO-17100;GAW-5G93;13/09/2024;22691;37,25; R$152,37 ;PETROCIN;ETANOL COMUM;;;;;;
17GB;ABS-17106;GDH-3H25;13/09/2024;39919;106,64; R$660,10 ;POSTO;DIESEL S-10;;;;;;
17GB;AC-17001;GHU-6J06;13/09/2024;50103;43,57; R$278,39 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB; UR-17102;FYC-1A73;13/09/2024;18024;31,28; R$193,62 ;POSTO;DIESEL S-10;;;;;;
17GB;ABS-17102;EEF-7331;15/09/2024;169227;102,23; R$653,25 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;ABS-17103;DJM-3481;15/09/2024;145918;161,12; R$1.029,53 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;AT-17101;STA-3H63;15/09/2024;7063;130,43; R$833,50 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;MOB-17102;FDF-9996;15/09/2024;77953;7,18; R$43,01 ;POSTO;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;15/09/2024;67479;6,17; R$36,96 ;POSTO;GASOLINA COMUM;;;;;;
17GB;UR-17105;FKG0E65;15/09/2024;35144;33,58; R$214,62 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;TP-17001;SWH6I87;17/09/2024;10654;17,58; R$70,14 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;VO-17103;DIW-1J93;17/09/2024;114578;15,84; R$60,03 ;POSTO;ETANOL COMUM;;;;;;
17GB;AC-17001;GHU-6J06;17/09/2024;50321;35,00; R$223,66 ;POSTO EQUIPE QUALITY;DIESEL S-10;;;;;;
17GB;TP-17001;SWH6I87;18/09/2024;10812;20,20; R$80,59 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;CA-17001;BVZ-7844;18/09/2024;254111;42,94; R$272,25 ;POSTO MOGI DAS CRUZES;DIESEL S-10;;;;;;
17GB;MOB-17104;FZF-6232;18/09/2024;67534;4,31; R$27,06 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17102;FDF-9996;18/09/2024;78006;4,57; R$28,69 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;TP-17000;SVX6D77;18/09/2024;11700;21,53; R$85,91 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB; UR-17102;FYC-1A73;18/09/2024;18348;43,89; R$271,68 ;POSTO;DIESEL S-10;;;;;;
17GB;TP-17001;SWH6I87;19/09/2024;10970;17,57; R$70,09 ;POSTO EQUIPE QUALITY;ETANOL COMUM;;;;;;
17GB;MOB-17102;FDF-9996;19/09/2024;78127;6,94; R$40,56 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
17GB;MOB-17104;FZF-6232;19/09/2024;67656;6,47; R$40,56 ;POSTO EQUIPE QUALITY;GASOLINA COMUM;;;;;;
