              POLÍCIA MILTAR DO ESTADO DE SÃO PAULO;;;;;;;;;;;
CORPO DE BOMBEIROS;;;;;;;;;;;
17GB SET25;;;;;;;;;;;
;;; ;;;;;;;;
RELATÓRIO MENSAL DE CONSUMO DE COMBUSTÍVEIS;;;;;;;;;;;
;;;;;;;;;;;
GB;VIATURA;PLACA;DATA                                        ABASTECIMENTO;HODÔMETRO;VOLUME; VALOR                     TOTAL R$ ;POSTO; COMBUSTÍVEL ;;;
17GB;ABS-17203;SWV0I18;27/09/2025;27589;96,80; R$608,92 ;Quality;DIESEL S10;;;
17GB;EP-17201;TIX7A89;01/09/2025;2930;27,78; R$171,13 ;Quality;GASOLINA;;;
17GB;ABS-17203;SWV0I18;01/09/2025;27866;136,50; R$859,09 ;Quality;DIESEL S10;;;
17GB;UR-17101;FVY9I93;01/09/2025;49559;29,09; R$191,73 ;POSTO EQUIPE QUALITY LTDA;DIESEL S10;;;
17GB;AT-17205;GIU7B96;01/09/2025;15826;104,72; R$658,68 ;Quality baruel;DIESEL S10;;;
17GB;UR-17105;FKG0E65;01/09/2025;48677;31,69; R$208,88 ;Equipe Quality shopping;DIESEL S10;;;
17GB;ABS-17102;EEF7D31;01/09/2025;175786;74,95; R$493,92 ;Equipe quality ltda;DIESEL S10;;;
17GB;UR-17210;EWZ1B95;01/09/2025;52850;54,08; R$356,39 ;Auto Posto Ferraz Centro;DIESEL S10;;;
17GB;AT-17101;STA3H63;01/09/2025;11193;106,29; R$711,13 ;Posto shopping mogi;DIESEL S10;;;
17GB;UR-17211;FQO1D01;01/09/2025;73683;48,74; R$316,32 ;Posto quality Baruel -S uzano;DIESEL S10;;;
17GB;ABS-17105;GIC4H16;02/09/2025;73118;88,22; R$584,10 ;REINA O SOL;DIESEL S10;;;
17GB;AS-17201;EGI-1400;02/09/2025;196915;69,89; R$453,59 ;Quality;DIESEL S10;;;
17GB;EP-17101;TZL5A72;02/09/2025;1410;13,00; R$51,61 ;ITAMARATY ll;ALCOOL;;;
17GB;UR-17214;GGT3F22;02/09/2025;51960;41,78; R$27,15 ;Quality baruel;DIESEL S10;;;
17GB;EP-17101;TZL5A72;03/09/2025;1520;15,11; R$59,99 ;ITAMARATY ll;ALCOOL;;;
17GB;TP-17001;SWH6I87;03/09/2025;44440;18,20; R$76,26 ;Equipe quality;ALCOOL;;;
17GB;TP-17101;DBS-3679;03/09/2025;311080;23,51; R$98,50 ;Master mogi;ALCOOL;;;
17GB;MOB-17107;EEF-7217;03/09/2025;56169;4,63; R$29,63 ;Quality shoop long;GASOLINA;;;
17GB;MOB-17108;EEF-7208;03/09/2025;57386;4,91; R$31,40 ;Posto Quality;GASOLINA;;;
17GB;TP-17001;SWH6I87;04/09/2025;44682;27,19; R$113,96 ;quality;ALCOOL;;;
17GB;UR-17102;FYC1A73;04/09/2025;38696;37,56; R$224,23 ;Posto titans;DIESEL S10;;;
17GB;AC-17001;GHU6J06;04/09/2025;66758;44,80; R$295,25 ;Posto Equipe Quality;DIESEL S10;;;
17GB;ABS-17101;GCN6C35;03/09/2025;74336;124,14; R$818,13 ;Quality;DIESEL S10;;;
17GB;VO-17003;TKX5J89;04/09/2025;4255;26,03; R$171,54 ;Posto Equipe Quality;DIESEL S10;;;
17GB;ABS-17205;GIC3F68;04/09/2025;68579;168,20; R$1.041,16 ;Ipiranga;DIESEL S10;;;
17GB;VO-17004;EXM2C24;04/09/2025;72557;37,59; R$157,50 ;Equipe Quality;ALCOOL;;;
17GB;VO-17001;FFY5I31;04/09/2025;21937;28,89; R$121,04 ;Equpe Quality;ALCOOL;;;
17GB;VO-17003;DJL-7263;05/09/2025;116433;38,45; R$253,41 ;Posto Equipe Quality;DIESEL S10;;;
17GB;UR-17210;EWZ1B95;05/09/2025;53019;37,64; R$248,05 ;Posto Domingos Ferraz;DIESEL S10;;;
17GB;TP-17001;SWH6I87;05/09/2025;44848;20,20; R$84,65 ;Equipe Quality;ALCOOL;;;
17GB;VO-17103;DIW1J93;05/09/2025;131874;32,18; R$131,62 ;Posto Itamaraty;ALCOOL;;;
17GB;ABS-17105;GIC4H16;05/09/2025;73303;73,27; R$482,14 ;Reina o Sol;DIESEL S10;;;
17GB;UR-17101;FVY9I93;06/09/2025;49679;18,40; R$121,24 ;Equipe;DIESEL S10;;;
17GB;UR-17102;FYC1A73;06/09/2025;38853;22,28; R$146,87 ;Posto Quality Ltda;DIESEL S10;;;
17GB;UR-17212;GJH1F17;06/09/2025;77179;38,68; R$239,43 ;Posto Tornado;DIESEL S10;;;
17GB;ABS-17103;SWV0I18;07/09/2025;28102;132,19; R$857,91 ;Quality Baruel;DIESEL S10;;;
17GB;AC-17001;GHU6J06;07/09/2025;66918;30,77; R$202,82 ;Posto Equipe Quality;DIESEL S10;;;
17GB;VO-17102;EFC-7492;07/09/2025;68268;44,29; R$190,00 ;Auto Posto Batistela General Porfirio da Paz;ALCOOL;;;
17GB;EP-17101;TZL5A72;08/09/2025;1655;18,00; R$71,46 ;ITAMARATY ll;ALCOOL;;;
17GB;MOB-17107;EEF-7217;08/09/2025;56333;5,79; R$37,01 ;Posto Quality(shopping);GASOLINA;;;
17GB;MOB-17108;EEF-7208;08/09/2025;57552;5,79; R$37,01 ;Posto Quality (shopping);GASOLINA;;;
17GB;ABS-17106;GDH3H25;08/09/2025;52186;105,14; R$661,33 ;Auto Posto Master;DIESEL S10;;;
17GB;TP-17001;SWH6I87;08/09/2025;45002;17,00; R$71,23 ;POSTO EQUIPE QUALITY;ALCOOL;;;
17GB;UR-17105;FKG0E65;08/09/2025;48835;28,80; R$189,83 ;Equipe quality ltda;DIESEL S10;;;
17GB;MO-17001;DJM4F57;08/09/2025;162184;22,07; R$145,42 ;POSTO EQUIPE QULITY;DIESEL S10;;;
17GB;VO-17102;EFC-7492;08/09/2025;68448;24,92; R$106,67 ;Reina o Sol;ALCOOL;;;
17GB;UR-17210;EWZ1B95;08/09/2025;53131;25,42; R$167,52 ;Posto Ferraz de Vasconcelos;DIESEL S10;;;
17GB;ABS-17105;GIC4H16;09/09/2025;73446;78,46; R$516,29 ;REINA O SOL;DIESEL S10;;;
17GB;ABS-17101;GCN6C35;09/09/2025;74552;111,83; R$736,96 ;Quality;DIESEL S10;;;
17GB;EP-17101;TZL5A72;10/09/2025;1860;13,93; R$55,26 ;ITAMARATY Ii;ALCOOL;;;
17GB;ABS-17205;GIC3F68;09/09/2025;68876;117,23; R$756,60 ;Ipiranga;DIESEL S10;;;
17GB;TP-17000;TIZ0D86;10/09/2025;1035;12,75; R$53,46 ;Posto equipe Quality;ALCOOL;;;
17GB;AC-17002;GIL8E75;10/09/2025;177048;37,06; R$244,23 ;Posto Equipe Quality;DIESEL S10;;;
17GB;AT-17205;GIU7B96;10/09/2025;16076;143,31; R$930,08 ;Quality;DIESEL S10;;;
17GB;ABS-17202;DJP9E19;08/09/2025;104493;126,21; R$819,10 ;Quality;DIESEL S10;;;
17GB;ABS-17203;SWV0I18;11/09/2025;28441;150,05; R$956,09 ;Posto Baruel;DIESEL S10;;;
17GB;EP-17101;TZL5A72;09/09/2025;1755;12,09; R$48,00 ;ITAMARATY ll;ALCOOL;;;
17GB;VO-17100;GAW5G93;11/09/2025;29166;27,26; R$111,49 ;ITAMARATHY;ALCOOL;;;
17GB;TP-17000;TIZ0D86;12/09/2025;1291;32,30; R$135,34 ;POSTO EQUIPE QUALITY;ALCOOL;;;
17GB;ABS-17102;EEF7D31;12/09/2025;176141;96,06; R$633,04 ;EQUIPE QUALITY;DIESEL S10;;;
17GB;GERADOR GASOLINA;GERADOR GASOLINA;12/09/2025;6;4,81; R$30,72 ;EQUIPE QUALITY LTDA;GASOLINA;;;
17GB;MOB-17107;EEF-7217;12/09/2025;56478;4,92; R$31,43 ;Posto Quality (shopping);GASOLINA;;;
17GB;MOB-17108;EEF-7208;12/09/2025;57698;4,85; R$31,04 ;Posto Quality (shopping);GASOLINA;;;
17GB;ABS-17201;GGR8E95;12/09/2025;43239;160,14; R$1.055,32 ;Auto posto Ferraz centro;DIESEL S10;;;
17GB;UR-17212;GJH1F17;12/09/2025;77453;39,22; R$242,77 ;Ipiranga;DIESEL S10;;;
17GB;MOB-17206;GCC9F64;12/09/2025;14996;9,57; R$58,95 ;Quality (Petrobras);GASOLINA;;;
17GB;MOB-17207;FSP3D32;12/09/2025;14949;9,27; R$57,38 ;Petrobrás;GASOLINA;;;
17GB;VO-17100;GAW5G93;12/09/2025;29298;15,10; R$61,76 ;ITAMARATHY;ALCOOL;;;
17GB;UR-17102;FYC1A73;12/09/2025;39355;35,64; R$234,86 ;Posto quality;DIESEL S10;;;
17GB;VO-17101;TKX6F66;12/09/2025;3745;35,60; R$231,04 ;ITAMARATHY;DIESEL S10;;;
17GB;MO-17001;DJM4F57;11/09/2025;162766;59,54; R$386,41 ;Itamarathy;DIESEL S10;;;
17GB;ABS-17205;GIC3F68;13/09/2025;69003;121,29; R$750,79 ;Ipiranga;DIESEL S10;;;
17GB;AT-17101;STA3H63;13/09/2025;11437;108,60; R$715,70 ;Equipe quality;DIESEL S10;;;
17GB;UR-17213;FYT2A23;13/09/2025;55077;53,80; R$354,54 ;Auto Posto Ferraz Centro;DIESEL S10;;;
17GB;ABS-17105;GIC4H16;14/09/2025;73561;73,09; R$480,95 ;Porta do Sol;DIESEL S10;;;
17GB;VO-17103;DIW1J93;14/09/2025;132162;28,73; R$117,51 ;Itamaraty;ALCOOL;;;
17GB;EP-17101;TZL5A72;15/09/2025;2020;20,08; R$81,73 ;ITAMARATY ll;ALCOOL;;;
17GB;TP-17000;TIZ0D86;15/09/2025;1451;15,96; R$68,45 ;POSTO EQUIPE QUALITY;ALCOOL;;;
17GB;ABS-17106;GDH3H25;15/09/2025;52420;127,41; R$801,42 ;MASTER MOGI (FRANCISCO FERREIRA LOPES);DIESEL S10;;;
17GB;TP-17203;FHN-0083;03/09/2025;183519;18,07; R$111,85 ;Auto Posto Tornado ltda;GASOLINA;;;
17GB;TP-17001;SWH6I87;15/09/2025;45114;11,59; R$48,56 ;POSTO ITAMATHY;ALCOOL;;;
17GB;VO-17001;FFY5I31;15/09/2025;22332;42,04; R$180,39 ;Equipe Quality;ALCOOL;;;
17GB;AC-17001;GHU6J06;15/09/2025;67108;32,49; R$214,12 ;Posto Equipe Quality Ltda;DIESEL S10;;;
17GB;UR-17212;GJH1F17;15/09/2025;77745;48,55; R$300,00 ;Ipiranga;DIESEL S10;;;
17GB;VO-17102;EFC-7492;16/09/2025;68722;37,02; R$158,45 ;Reina o sol;ALCOOL;;;
17GB;ABS-17205;GIC3F68;15/09/2025;69923;88,49; R$547,75 ;Ipiranga;DIESEL S10;;;
17GB;EP-17101;TZL5A72;16/09/2025;2100;10,91; R$44,40 ;ITAMARATY ll;ALCOOL;;;
17GB;TP-17000;TIZ0D86;09/09/2025;937;32,03; R$121,37 ;Auto posto prata SJ Campos Ltda (7584);ALCOOL;;;
17GB;TP-17000;TIZ0D86;16/09/2025;1608;18,17; R$77,95 ;POSTO EQUIPE QUALITY;ALCOOL;;;
