FCD,GEFROE,NEO,DATA,PREFIXO,KM,SERVIÇOS,EMPRESA,VALOR,RESULTADO,,
*****,*****,2398,21/02/2022,TP-17004,128354,"Fornecer e substituir o óleo do motor;
 Fornecer e substituir o filtro de óleo do motor;
 Fornecer e substituir o filtro de combustível;
 Fornecer e substituir o filtro de ar do motor;
 Fornecer e substituir o filtro de ar da cabine (ar condicionado). Fornecer e substituir o kit da correia dentada com tensor;
 Fornecer e substituir 04 (quatro) pneus de medida 185/65R15;
 Realizar alinhamento de direção e balanceamento dos 4 pneus.
 Realizar lavagem completa e higienização.",R 9 AUTO PECAS E SERVICOS,"R$ 4.372,16",FINALIZADA NA NEO,,
*****,*****,2400,05/01/2022,AC-17002,133600,"Fornecer e substituir o óleo do motor;
 Fornecer e substituir o filtro de óleo do motor;
 Fornecer e substituir o filtro de combustível;
 Fornecer e substituir o filtro de ar do motor;
 Fornecer e substituir o filtro de ar da cabine (ar condicionado), realizando higienização do sistema;
 Fornecer e substituir pastilha de freio; Realizar revisão de freios traseiro e dianteiro.",R 9 AUTO PECAS E SERVICOS,"R$ 1.635,43",FINALIZADA NA NEO,,
*****,*****,2404,*****,ABE-17101,*****,Fornecer e substituir o óleo do motor; Fornecer e substituir o filtro de óleo do motor; Fornecer e substituir o filtro de combustível; Fornecer e substituir o filtro de ar do motor; Fornecer e substituir as palhetas dos limpadores do para-brisas.,OLUCHI REPARAÇÕES AUTOMOTIVA,"R$ 5.004,93",CANCELADA NA NEO,,
*****,*****,*****,05/01/2022,TP-17004,126867,TROCA DE PASTILHA DE FREIO DIANTEIRA. PRÓXIMA INSPEÇÃO: 137000 KM,IKEDA,"R$ 145,00",NÃO HOUVE O.S. GEFROE,NOTA PARA FEVEREIRO,
*****,*****,*****,06/01/2022,VO-17008,196390,"TROCA DO BRAÇO AUXILIAR, BIELETA E ALINHAMENTO",IKEDA,"R$ 434,00",NÃO HOUVE O.S. GEFROE,NOTA PARA FEVEREIRO,
*****,*****,*****,10/01/2022,ABS-17103,124719,REPARO EM RADIADOR E TROCA DE FLUÍDO DE ARREFECIMENTO,BF DIESEL,"R$ 645,00",NÃO HOUVE O.S. GEFROE,NOTA PARA FEVEREIRO,
*****,*****,2424,15/02/2022,UR-17104,100159,substituir o catalizador do escapamento; substituir o escapamento completo; substituir 01 (um) par de palhetas para os limpadores de para-brisa.,MARVANS,"R$ 2.250,00",FINALIZADA NA NEO,,
*****,*****,2427,*****,ASE-17101,*****,"reparo para reativação da cascata; teste hidrostático nos cilindros do banco de ar; substituir os materiais necessários para realizar a ligação do sistema de cascata, bem como a interligação entre o sistema de cascata, compressor, cilindros e painel; substituir peças e materiais necessários para realizar a ampliação do painel já existente, utilizado para monitorar a pressão do primeiro e segundo estágio; substituir a chapa do painel, confeccionado em aço inox; substituir 02 (dois) manômetros do painel; reparo no sistema elétrico do sistema; substituir o óleo do compressor; substituir o filtro de captação; substituir o filtro de purificação; substituir o filtro de óleo do compressor.",*****,R$ -,CANCELADA NA NEO,,
*****,*****,2432,*****,TP-17001,*****,"Reformar o banco do motorista, fornecendo todo o material necessário, compatível com o já existente; Fornecer e substituir os 02 (dois) faróis de milha, conforme especificações do fabricante do veículo; Reformar a forração das 04 (quatro) portas, fornecendo todo o material necessário, compatível com o já existente; Reparar e reformar o para-choque dianteiro; Fornecer e substituir os 02 (dois) ""piscas"" dos retrovisores; Realizar pintura geral, fornecendo todo o material necessário bem como a tinta na cor específica da viatura.",*****,R$ -,CANCELADA NA NEO,,
*****,*****,2433,14/01/2022,UT-17001,83016,"Polimento e cristalização externa total, incluindo lanternas e faróis, fornecendo todo o material necessário",APICE MOGI,"R$ 520,00",FINALIZADA NA NEO,,
